Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Performing_agricultural_activity,Performing_agricultural_activity,Performing_agricultural_activity,Performing_agricultural_activity,Performing_agricultural_activity,1,1
Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,1,1
