Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
number_of_stillbirths,number_of_stillbirths,number_of_stillbirths,number_of_stillbirths,number_of_stillbirths,24,2
per_1000,per_1000,per_1000,per_1000,per_1000,8,2
