Year,UNIT_MEASURE,QUANTITY,Ентитет,Value
1997,Број,total_millions,BiH,3424
1998,Број,total_millions,BiH,3879
1999,Број,total_millions,BiH,4399
2000,Број,total_millions,BiH,4914
2001,Број,total_millions,BiH,5358
2002,Број,total_millions,BiH,5957
2003,Број,total_millions,BiH,6291
2004,Број,total_millions,BiH,6901
2005,Број,total_millions,BiH,9025
2006,Број,total_millions,BiH,10255
2007,Број,total_millions,BiH,11529
2008,Број,total_millions,BiH,13048
2009,Број,total_millions,BiH,12679
2010,Број,total_millions,BiH,12969
2011,Број,total_millions,BiH,13412
2012,Број,total_millions,BiH,13408
2013,Број,total_millions,BiH,13692
2014,Број,total_millions,BiH,13989
2015,Број,total_millions,BiH,14618
2016,Број,total_millions,BiH,15290
2017,Број,total_millions,BiH,16043
2018,Број,total_millions,BiH,17100
2019,Број,total_millions,BiH,18047
1997,Број,per_capita,BiH,912
1998,Број,per_capita,BiH,1062
1999,Број,per_capita,BiH,1181
2000,Број,per_capita,BiH,1300
2001,Број,per_capita,BiH,1411
2002,Број,per_capita,BiH,1556
2003,Број,per_capita,BiH,1642
2004,Број,per_capita,BiH,1796
2005,Број,per_capita,BiH,2548
2006,Број,per_capita,BiH,2895
2007,Број,per_capita,BiH,3255
2008,Број,per_capita,BiH,3684
2009,Број,per_capita,BiH,3581
2010,Број,per_capita,BiH,3664
2011,Број,per_capita,BiH,3791
2012,Број,per_capita,BiH,3793
2013,Број,per_capita,BiH,3878
2014,Број,per_capita,BiH,3967
2015,Број,per_capita,BiH,4155
2016,Број,per_capita,BiH,4355
2017,Број,per_capita,BiH,4578
2018,Број,per_capita,BiH,4891
2019,Број,per_capita,BiH,5178
