Year,UNIT_MEASURE,Entity,Value
2005,Broj,BiH,351.0
2005,Broj,RS,351.0
2006,Broj,BiH,331.0
2006,Broj,RS,331.0
2007,Broj,BiH,918.0
2007,Broj,FBIH,521.0
2007,Broj,RS,397.0
2008,Broj,BiH,852.0
2008,Broj,FBIH,425.0
2008,Broj,RS,427.0
2009,Broj,BiH,963.0
2009,Broj,FBIH,560.0
2009,Broj,RS,403.0
2010,Broj,BiH,876.0
2010,Broj,FBIH,465.0
2010,Broj,RS,411.0
2011,Broj,BiH,852.0
2011,Broj,FBIH,419.0
2011,Broj,RS,433.0
2012,Broj,BiH,488.0
2012,Broj,FBIH,488.0
2013,Broj,BiH,307.0
2013,Broj,FBIH,307.0
2014,Broj,BiH,208.0
2014,Broj,FBIH,208.0
2015,Broj,BiH,538.0
2015,Broj,FBIH,538.0
2016,Broj,BiH,1023.0
2016,Broj,FBIH,574.0
2016,Broj,RS,449.0
2017,Broj,BiH,556.0
2017,Broj,FBIH,556.0
