Year,UNIT_MEASURE,Sex,AGE,Administrative area,Value
2013,Number,M,35-39,Republika Srpska,44081
2013,Number,M,40-44,Republika Srpska,41347
2013,Number,M,45-49,Republika Srpska,44057
2013,Number,M,50-54,Republika Srpska,47525
2013,Number,M,55-59,Republika Srpska,47146
2013,Number,M,60-64,Republika Srpska,42672
2013,Number,M,65-69,Republika Srpska,27882
2013,Number,M,70-74,Republika Srpska,23950
2013,Number,M,75-79,Republika Srpska,19565
2013,Number,M,80-84,Republika Srpska,9763
2013,Number,M,85+,Republika Srpska,3927
2013,Number,M,Unknown,Republika Srpska,0
2013,Number,M,Total,Republika Srpska,603027
2013,Number,M,0-14,Republika Srpska,89009
2013,Number,M,15-29,Republika Srpska,118356
2013,Number,M,15-49,Republika Srpska,291588
2013,Number,M,15-64,Republika Srpska,428931
2013,Number,M,65+,Republika Srpska,85087
2013,Number,M,75+,Republika Srpska,33255
2013,Number,F,0-4,Republika Srpska,26809
2013,Number,F,5-9,Republika Srpska,27603
2013,Number,F,10-14,Republika Srpska,30269
2013,Number,F,15-19,Republika Srpska,36655
2013,Number,F,20-24,Republika Srpska,34966
2013,Number,F,25-29,Republika Srpska,40165
2013,Number,F,30-34,Republika Srpska,41907
2013,Number,F,35-39,Republika Srpska,41364
2013,Number,F,40-44,Republika Srpska,38816
2013,Number,F,45-49,Republika Srpska,43189
2013,Number,F,50-54,Republika Srpska,48481
2013,Number,F,55-59,Republika Srpska,49527
2013,Number,F,60-64,Republika Srpska,46818
2013,Number,F,65-69,Republika Srpska,33388
2013,Number,F,70-74,Republika Srpska,32123
2013,Number,F,75-79,Republika Srpska,29226
2013,Number,F,80-84,Republika Srpska,16246
2013,Number,F,85+,Republika Srpska,7844
2013,Number,F,Unknown,Republika Srpska,0
2013,Number,F,Total,Republika Srpska,625396
2013,Number,F,0-14,Republika Srpska,84681
2013,Number,F,15-29,Republika Srpska,111786
2013,Number,F,15-49,Republika Srpska,277062
2013,Number,F,15-64,Republika Srpska,421888
2013,Number,F,65+,Republika Srpska,118827
2013,Number,F,75+,Republika Srpska,53316
2013,Number,Both sexes,0-4,Brčko District of BiH,4165
2013,Number,Both sexes,5-9,Brčko District of BiH,4312
2013,Number,Both sexes,10-14,Brčko District of BiH,4604
2013,Number,Both sexes,15-19,Brčko District of BiH,5323
2013,Number,Both sexes,20-24,Brčko District of BiH,4936
2013,Number,Both sexes,25-29,Brčko District of BiH,5729
2013,Number,Both sexes,30-34,Brčko District of BiH,5991
2013,Number,Both sexes,35-39,Brčko District of BiH,6106
2013,Number,Both sexes,40-44,Brčko District of BiH,6145
2013,Number,Both sexes,45-49,Brčko District of BiH,6573
2013,Number,Both sexes,50-54,Brčko District of BiH,6573
2013,Number,Both sexes,55-59,Brčko District of BiH,5775
2013,Number,Both sexes,60-64,Brčko District of BiH,5148
2013,Number,Both sexes,65-69,Brčko District of BiH,3908
2013,Number,Both sexes,70-74,Brčko District of BiH,3359
2013,Number,Both sexes,75-79,Brčko District of BiH,2863
2013,Number,Both sexes,80-84,Brčko District of BiH,1400
2013,Number,Both sexes,85+,Brčko District of BiH,606
2013,Number,Both sexes,Unknown,Brčko District of BiH,0
2013,Number,Both sexes,Total,Brčko District of BiH,83516
2013,Number,Both sexes,0-14,Brčko District of BiH,13081
2013,Number,Both sexes,15-29,Brčko District of BiH,15988
2013,Number,Both sexes,15-49,Brčko District of BiH,40803
2013,Number,Both sexes,15-64,Brčko District of BiH,58299
