Year,UNIT_MEASURE,Entitet,Value
2008,Broj,BiH,4105.0
2008,Broj,FBiH,4105.0
2009,Broj,BiH,3806.0
2009,Broj,FBiH,3806.0
2010,Broj,BiH,3080.0
2010,Broj,FBiH,3080.0
2011,Broj,BiH,4598.0
2011,Broj,FBiH,4598.0
2012,Broj,BiH,4823.0
2012,Broj,FBiH,4823.0
2013,Broj,BiH,4597.0
2013,Broj,FBiH,4597.0
2014,Broj,BiH,4730.0
2014,Broj,FBiH,4730.0
2015,Broj,BiH,4788.0
2015,Broj,FBiH,4788.0
2016,Broj,BiH,4909.0
2016,Broj,FBiH,4909.0
2017,Broj,BiH,5038.0
2017,Broj,FBiH,5038.0
2018,Broj,BiH,4910.0
2018,Broj,FBiH,4910.0
