Year,UNIT_MEASURE,ADMIN_AREA,Value
1965,boys_to_girls,BiH,107.61
1970,boys_to_girls,BiH,107.0
1975,boys_to_girls,BiH,106.91
1980,boys_to_girls,BiH,106.81
1988,boys_to_girls,BiH,107.9
1989,boys_to_girls,BiH,105.4
1990,boys_to_girls,BiH,106.56
1991,boys_to_girls,BiH,105.61
1996,boys_to_girls,BiH,109.92
1997,boys_to_girls,BiH,109.51
1998,boys_to_girls,BiH,108.54
1999,boys_to_girls,BiH,103.88
2000,boys_to_girls,BiH,106.53
2001,boys_to_girls,BiH,105.91
2002,boys_to_girls,BiH,105.82
2003,boys_to_girls,BiH,108.44
2004,boys_to_girls,BiH,106.55
2005,boys_to_girls,BiH,105.75
2006,boys_to_girls,BiH,106.44
2007,boys_to_girls,BiH,107.56
2008,boys_to_girls,BiH,105.99
2009,boys_to_girls,BiH,108.77
2010,boys_to_girls,BiH,106.31
2011,boys_to_girls,BiH,108.19
2012,boys_to_girls,BiH,106.56
2013,boys_to_girls,BiH,106.64
2014,boys_to_girls,BiH,106.31
2015,boys_to_girls,BiH,105.85
2016,boys_to_girls,BiH,108.63
2017,boys_to_girls,BiH,107.9
2018,boys_to_girls,BiH,107.53
2019,boys_to_girls,BiH,109.24
