Year,UNIT_MEASURE,Ентитет,Value
NUMBER,,,88.2
NUMBER,,,93.3
NUMBER,,,56.3
NUMBER,,,79.02670112
NUMBER,,,87.68640057
NUMBER,,,88.77714489
NUMBER,,,88.09425949
NUMBER,,,104.7187469
NUMBER,,,112.9112414
NUMBER,,,92.50952588
NUMBER,,,68.443286
NUMBER,,,81.25172827
NUMBER,,,77.1592019
NUMBER,,,77.72197157
NUMBER,,,61.80307887
NUMBER,,,67.94940144
NUMBER,,,85.76838442
NUMBER,,,120.5366465
NUMBER,,,125.8020291
NUMBER,,,148.0451682
NUMBER,,,144.0755243
NUMBER,,,150.513055
NUMBER,,,143.9397872
NUMBER,,,151.3345686
NUMBER,,,155.2408217
NUMBER,,,147.2140144
NUMBER,,,25.7282875
NUMBER,,,68.36436087
NUMBER,,,77.94383754
NUMBER,,,84.07420371
NUMBER,,,84.92874622
NUMBER,,,100.7994984
NUMBER,,,110.4818062
NUMBER,,,89.60464051
NUMBER,,,62.57758306
NUMBER,,,70.92511013
NUMBER,,,71.70304334
NUMBER,,,69.62452728
NUMBER,,,62.91501777
NUMBER,,,58.88807608
NUMBER,,,76.53218355
NUMBER,,,96.98943522
NUMBER,,,97.51243781
NUMBER,,,119.8488709
NUMBER,,,110.2487064
NUMBER,,,115.7878508
NUMBER,,,112.9788898
NUMBER,,,132.7535786
NUMBER,,,139.5758365
NUMBER,,,136.3932822
NUMBER,,,95.07911163
NUMBER,,,102.1430559
NUMBER,,,93.50057013
NUMBER,,,92.64590421
NUMBER,,,115.6149882
NUMBER,,,117.2404258
NUMBER,,,109.9128379
NUMBER,,,89.17821644
NUMBER,,,105.8737151
NUMBER,,,76.67638484
NUMBER,,,84.026505
NUMBER,,,49.52351195
NUMBER,,,74.21301582
NUMBER,,,89.64799723
NUMBER,,,152.7059635
NUMBER,,,164.851671
NUMBER,,,192.427291
NUMBER,,,189.9364589
NUMBER,,,193.8931298
NUMBER,,,184.2531008
NUMBER,,,165.4350017
NUMBER,,,161.4146832
NUMBER,,,158.0212985
NUMBER,,,90.0621118
NUMBER,,,122.1374046
NUMBER,,,122.7621483
NUMBER,,,127.0553064
NUMBER,,,135.2154532
NUMBER,,,132.0224719
NUMBER,,,120.5882353
NUMBER,,,207.4626866
NUMBER,,,249.1909385
NUMBER,,,324.6329527
NUMBER,,,335.7041252
NUMBER,,,307.073955
NUMBER,,,378.5822021
NUMBER,,,464.1791045
NUMBER,,,442.5727412
NUMBER,,,410.8635097
NUMBER,,,471.5189873
NUMBER,,,312.1869783
