Year,UNIT_MEASURE,Administrativna oblast,Value
1971,%,BiH,15.4
1972,%,BiH,14.5
1973,%,BiH,13.7
1974,%,BiH,13.8
1975,%,BiH,13.4
1976,%,BiH,13.4
1977,%,BiH,12.4
1978,%,BiH,11.4
1979,%,BiH,10.9
1980,%,BiH,10.9
1981,%,BiH,10.8
1982,%,BiH,11.2
1983,%,BiH,10.6
1984,%,BiH,10.8
1985,%,BiH,10.4
1986,%,BiH,9.9
1987,%,BiH,9.7
1988,%,BiH,9.6
1989,%,BiH,8.4
1990,%,BiH,8.7
1991,%,BiH,7.8
1996,%,BiH,5.9
1997,%,BiH,5.5
1998,%,BiH,4.5
1999,%,BiH,3.7
2000,%,BiH,2.4
2001,%,BiH,1.9
2002,%,BiH,1.4
2003,%,BiH,0.9
2004,%,BiH,0.7
2005,%,BiH,0.1
2006,%,BiH,0.2
2007,%,BiH,-0.3
2008,%,BiH,0.0
2009,%,BiH,-0.1
2010,%,BiH,-0.4
2011,%,BiH,-0.8
2012,%,BiH,-0.8
2013,%,BiH,-1.4
2014,%,BiH,-1.6
2015,%,BiH,-2.3
2016,%,BiH,-1.8
2017,%,BiH,-2.2
2018,%,BiH,-2.4
2019,%,BiH,-3.0
