Year,UNIT_MEASURE,Sex,Age,Value
2011,%,Both sexes,25 - 49,26.2
2011,%,Both sexes,50 - 64,18.6
2011,%,Both sexes,65+,0.0
2011,%,Both sexes,15 - 64,28.0
2011,%,M,15+,26.1
2011,%,M,15 - 24,56.4
2011,%,M,25 - 49,23.7
2011,%,M,50 - 64,19.3
2011,%,M,65+,0.0
2011,%,M,15 - 64,26.5
2011,%,F,15+,29.9
2011,%,F,15 - 24,60.5
2011,%,F,25 - 49,30.3
2011,%,F,50 - 64,17.5
2011,%,F,65+,0.0
2011,%,F,15 - 64,30.5
2011,%,Both sexes,15+,56.0
2011,%,Both sexes,15 - 24,68.6
2011,%,Both sexes,25 - 49,29.4
2011,%,Both sexes,50 - 64,58.8
2011,%,Both sexes,65+,96.4
2011,%,Both sexes,15 - 64,46.2
2011,%,M,15+,44.1
2011,%,M,15 - 24,61.2
2011,%,M,25 - 49,15.5
2011,%,M,50 - 64,45.9
2011,%,M,65+,95.1
2011,%,M,15 - 64,33.7
2011,%,F,15+,67.2
2011,%,F,15 - 24,76.7
2011,%,F,25 - 49,44.1
2011,%,F,50 - 64,70.2
2011,%,F,65+,97.3
2011,%,F,15 - 64,58.8
2012,%,Both sexes,15+,28.0
2012,%,Both sexes,15 - 24,63.1
2012,%,Both sexes,25 - 49,27.2
2012,%,Both sexes,50 - 64,16.9
2012,%,Both sexes,65+,0.0
2012,%,Both sexes,15 - 64,28.6
2012,%,M,15+,26.4
2012,%,M,15 - 24,62.6
2012,%,M,25 - 49,24.1
2012,%,M,50 - 64,17.5
2012,%,M,65+,0.0
2012,%,M,15 - 64,26.8
2012,%,F,15+,30.7
2012,%,F,15 - 24,64.0
2012,%,F,25 - 49,31.9
2012,%,F,50 - 64,15.7
2012,%,F,65+,0.0
2012,%,F,15 - 64,31.4
2012,%,Both sexes,15+,56.0
2012,%,Both sexes,15 - 24,70.6
2012,%,Both sexes,25 - 49,28.4
2012,%,Both sexes,50 - 64,57.9
2012,%,Both sexes,65+,95.0
2012,%,Both sexes,15 - 64,46.1
2012,%,M,15+,43.6
2012,%,M,15 - 24,62.3
2012,%,M,25 - 49,14.5
2012,%,M,50 - 64,43.8
2012,%,M,65+,93.0
2012,%,M,15 - 64,33.0
2012,%,F,15+,67.4
2012,%,F,15 - 24,79.1
2012,%,F,25 - 49,42.7
2012,%,F,50 - 64,70.8
2012,%,F,65+,96.6
2012,%,F,15 - 64,59.0
2013,%,Both sexes,15+,27.5
2013,%,Both sexes,15 - 24,59.1
2013,%,Both sexes,25 - 49,26.6
2013,%,Both sexes,50 - 64,18.2
2013,%,Both sexes,65+,0.0
2013,%,Both sexes,15 - 64,28.0
2013,%,M,15+,26.5
2013,%,M,15 - 24,59.1
2013,%,M,25 - 49,24.5
2013,%,M,50 - 64,18.6
2013,%,M,65+,0.0
2013,%,M,15 - 64,27.0
2013,%,F,15+,29.0
2013,%,F,15 - 24,59.2
2013,%,F,25 - 49,29.8
2013,%,F,50 - 64,17.5
2013,%,F,65+,0.0
2013,%,F,15 - 64,29.6
2013,%,Both sexes,15+,56.4
2013,%,Both sexes,15 - 24,71.7
2013,%,Both sexes,25 - 49,28.1
2013,%,Both sexes,50 - 64,57.9
2013,%,Both sexes,65+,95.8
2013,%,Both sexes,15 - 64,46.5
2013,%,M,15+,44.7
2013,%,M,15 - 24,63.7
2013,%,M,25 - 49,14.7
2013,%,M,50 - 64,44.5
2013,%,M,65+,93.8
2013,%,M,15 - 64,34.3
2013,%,F,15+,67.5
2013,%,F,15 - 24,80.6
2013,%,F,25 - 49,41.9
2013,%,F,50 - 64,70.4
2013,%,F,65+,97.3
2013,%,F,15 - 64,59.0
2014,%,Both sexes,15+,27.5
2014,%,Both sexes,15 - 24,62.7
2014,%,Both sexes,25 - 49,27.1
2014,%,Both sexes,50 - 64,16.3
2014,%,Both sexes,65+,0.0
2014,%,Both sexes,15 - 64,28.1
2014,%,M,15+,25.2
2014,%,M,15 - 24,61.0
2014,%,M,25 - 49,23.9
2014,%,M,50 - 64,15.8
2014,%,M,65+,0.0
2014,%,M,15 - 64,25.7
2014,%,F,15+,31.2
2014,%,F,15 - 24,65.4
2014,%,F,25 - 49,32.0
2014,%,F,50 - 64,17.2
2014,%,F,65+,0.0
2014,%,F,15 - 64,31.8
2014,%,Both sexes,15+,56.3
2014,%,Both sexes,15 - 24,70.7
2014,%,Both sexes,25 - 49,26.8
2014,%,Both sexes,50 - 64,57.9
2014,%,Both sexes,65+,95.3
2014,%,Both sexes,15 - 64,45.8
2014,%,M,15+,45.0
2014,%,M,15 - 24,65.4
2014,%,M,25 - 49,14.1
2014,%,M,50 - 64,43.9
2014,%,M,65+,93.2
2014,%,M,15 - 64,34.1
2014,%,F,15+,67.0
2014,%,F,15 - 24,76.7
2014,%,F,25 - 49,40.0
2014,%,F,50 - 64,70.5
2014,%,F,65+,96.9
2014,%,F,15 - 64,57.6
2015,%,Both sexes,15+,27.7
2015,%,Both sexes,15 - 24,62.3
2015,%,Both sexes,25 - 49,26.8
2015,%,Both sexes,50 - 64,16.8
2015,%,Both sexes,65+,0.0
2015,%,Both sexes,15 - 64,28.2
2015,%,M,15+,25.8
2015,%,M,15 - 24,59.5
2015,%,M,25 - 49,24.1
2015,%,M,50 - 64,16.3
2015,%,M,65+,0.0
2015,%,M,15 - 64,26.3
2015,%,F,15+,30.7
2015,%,F,15 - 24,67.3
2015,%,F,25 - 49,30.8
2015,%,F,50 - 64,17.8
2015,%,F,65+,0.0
2015,%,F,15 - 64,31.3
2015,%,Both sexes,15+,55.9
2015,%,Both sexes,15 - 24,67.8
2015,%,Both sexes,25 - 49,26.4
2015,%,Both sexes,50 - 64,58.3
2015,%,Both sexes,65+,95.7
2015,%,Both sexes,15 - 64,45.4
2015,%,M,15+,44.9
2015,%,M,15 - 24,61.1
2015,%,M,25 - 49,12.9
2015,%,M,50 - 64,46.3
2015,%,M,65+,94.0
2015,%,M,15 - 64,33.8
2015,%,F,15+,66.5
2015,%,F,15 - 24,75.5
2015,%,F,25 - 49,40.2
2015,%,F,50 - 64,69.5
2015,%,F,65+,97.0
2015,%,F,15 - 64,57.1
2016,%,Both sexes,15+,25.4
2016,%,Both sexes,15 - 24,54.3
2016,%,Both sexes,25 - 49,25.7
2016,%,Both sexes,50 - 64,15.7
2016,%,Both sexes,65+,8.7
2016,%,Both sexes,15 - 64,25.8
2016,%,M,15+,22.5
2016,%,M,15 - 24,52.0
2016,%,M,25 - 49,21.3
2016,%,M,50 - 64,14.6
2016,%,M,65+,9.9
2016,%,M,15 - 64,22.8
2016,%,F,15+,30.0
2016,%,F,15 - 24,58.9
2016,%,F,25 - 49,32.1
2016,%,F,50 - 64,17.7
2016,%,F,65+,0.0
2016,%,F,15 - 64,30.6
2016,%,Both sexes,15+,56.9
2016,%,Both sexes,15 - 24,69.8
2016,%,Both sexes,25 - 49,26.8
2016,%,Both sexes,50 - 64,56.3
2016,%,Both sexes,65+,95.9
2016,%,Both sexes,15 - 64,45.8
2016,%,M,15+,45.1
2016,%,M,15 - 24,61.9
2016,%,M,25 - 49,14.0
2016,%,M,50 - 64,42.6
2016,%,M,65+,94.0
2016,%,M,15 - 64,33.8
2016,%,F,15+,67.9
2016,%,F,15 - 24,78.7
2016,%,F,25 - 49,40.0
2016,%,F,50 - 64,69.4
2016,%,F,65+,97.3
2016,%,F,15 - 64,58.1
2017,%,Both sexes,15+,20.5
2017,%,Both sexes,15 - 24,45.8
2017,%,Both sexes,25 - 49,20.9
2017,%,Both sexes,50 - 64,12.5
2017,%,Both sexes,65+,0.0
2017,%,Both sexes,15 - 64,21.1
2017,%,M,15+,18.9
2017,%,M,15 - 24,43.1
2017,%,M,25 - 49,18.5
2017,%,M,50 - 64,11.8
2017,%,M,65+,0.0
2017,%,M,15 - 64,19.4
