Year,UNIT_MEASURE,SPOL,AGE,Entitet,Value
2013,Broj,M,21,Federacija BiH,14849
2013,Broj,M,22,Federacija BiH,16459
2013,Broj,M,23,Federacija BiH,16474
2013,Broj,M,24,Federacija BiH,16268
2013,Broj,M,25,Federacija BiH,16801
2013,Broj,M,26,Federacija BiH,16894
2013,Broj,M,27,Federacija BiH,16638
2013,Broj,M,28,Federacija BiH,16721
2013,Broj,M,29,Federacija BiH,17065
2013,Broj,M,30,Federacija BiH,16504
2013,Broj,M,31,Federacija BiH,16570
2013,Broj,M,32,Federacija BiH,16694
2013,Broj,M,33,Federacija BiH,16163
2013,Broj,M,34,Federacija BiH,16001
2013,Broj,M,35,Federacija BiH,15902
2013,Broj,M,36,Federacija BiH,15826
2013,Broj,M,37,Federacija BiH,16187
2013,Broj,M,38,Federacija BiH,15675
2013,Broj,M,39,Federacija BiH,15349
2013,Broj,M,40,Federacija BiH,15127
2013,Broj,M,41,Federacija BiH,15825
2013,Broj,M,42,Federacija BiH,15475
2013,Broj,M,43,Federacija BiH,14747
2013,Broj,M,44,Federacija BiH,15948
2013,Broj,M,45,Federacija BiH,15855
2013,Broj,M,46,Federacija BiH,16405
2013,Broj,M,47,Federacija BiH,16673
2013,Broj,M,48,Federacija BiH,16805
2013,Broj,M,49,Federacija BiH,16856
2013,Broj,M,50,Federacija BiH,16932
2013,Broj,M,51,Federacija BiH,17349
2013,Broj,M,52,Federacija BiH,17203
2013,Broj,M,53,Federacija BiH,16748
2013,Broj,M,54,Federacija BiH,17071
2013,Broj,M,55,Federacija BiH,15630
2013,Broj,M,56,Federacija BiH,15129
2013,Broj,M,57,Federacija BiH,15231
2013,Broj,M,58,Federacija BiH,15090
2013,Broj,M,59,Federacija BiH,14488
2013,Broj,M,60,Federacija BiH,14056
2013,Broj,M,61,Federacija BiH,12507
2013,Broj,M,62,Federacija BiH,11394
2013,Broj,M,63,Federacija BiH,11285
2013,Broj,M,64,Federacija BiH,10657
2013,Broj,M,65,Federacija BiH,9092
2013,Broj,M,66,Federacija BiH,9797
2013,Broj,M,67,Federacija BiH,7429
2013,Broj,M,68,Federacija BiH,6681
2013,Broj,M,69,Federacija BiH,6439
2013,Broj,M,70,Federacija BiH,6237
2013,Broj,M,71,Federacija BiH,6969
