Year,UNIT_MEASURE,Value
2007,Broj,14.97
2008,Broj,11.02
2009,Broj,14.89
2010,Broj,12.65
2011,Broj,10.31
2012,Broj,14.78
2013,Broj,8.41
2014,Broj,14.36
2015,Broj,13.44
2016,Broj,19.13
2017,Broj,10.26
