Year,UNIT_MEASURE,SPOL,Value
1960,Age,M,58.62
1970,Age,M,63.78
1981,Age,M,68.2
1988,Age,M,69.2
2013,Age,M,73.88
2015,Age,M,73.7
2018,Age,M,74.3
1960,Age,Ž,61.46
1970,Age,Ž,68.41
1981,Age,Ž,73.5
1988,Age,Ž,74.6
2013,Age,Ž,78.88
2015,Age,Ž,78.8
2018,Age,Ž,79.0
