Year,UNIT_MEASURE,Entitet,Value
2006,% od ukupnog broja,BiH,23.3
2006,% od ukupnog broja,FBiH,23.3
2006,% od ukupnog broja,Republika Srpska,23.3
2006,% od ukupnog broja,Brčko Distrikt BiH,21.3
2011,% od ukupnog broja,BiH,9.0
2011,% od ukupnog broja,FBiH,9.9
2011,% od ukupnog broja,Republika Srpska,6.7
2011,% od ukupnog broja,Brčko Distrikt BiH,13.1
2012,% od ukupnog broja,BiH,9.0
2012,% od ukupnog broja,FBiH,9.9
2012,% od ukupnog broja,Republika Srpska,6.7
2012,% od ukupnog broja,Brčko Distrikt BiH,13.1
