Year,UNIT_MEASURE,Spol,Godine,Value
1971,Broj,Oba spola ili bez podjele po spolu,110,0
1971,Broj,Oba spola ili bez podjele po spolu,111,0
1971,Broj,Oba spola ili bez podjele po spolu,112,0
1971,Broj,Oba spola ili bez podjele po spolu,113,0
1971,Broj,Oba spola ili bez podjele po spolu,114,0
1971,Broj,Oba spola ili bez podjele po spolu,115,0
1971,Broj,Oba spola ili bez podjele po spolu,116,0
1971,Broj,Oba spola ili bez podjele po spolu,117,0
1971,Broj,Oba spola ili bez podjele po spolu,118,0
1971,Broj,Oba spola ili bez podjele po spolu,119,0
1971,Broj,Oba spola ili bez podjele po spolu,120,0
1971,Broj,Oba spola ili bez podjele po spolu,Unknown,14223
1971,Broj,Oba spola ili bez podjele po spolu,Total,3746111
1981,Broj,Oba spola ili bez podjele po spolu,0,71881
1981,Broj,Oba spola ili bez podjele po spolu,1,69965
1981,Broj,Oba spola ili bez podjele po spolu,2,67249
1981,Broj,Oba spola ili bez podjele po spolu,3,68657
1981,Broj,Oba spola ili bez podjele po spolu,4,70968
1981,Broj,Oba spola ili bez podjele po spolu,5,71951
1981,Broj,Oba spola ili bez podjele po spolu,6,71141
1981,Broj,Oba spola ili bez podjele po spolu,7,71151
1981,Broj,Oba spola ili bez podjele po spolu,8,73640
1981,Broj,Oba spola ili bez podjele po spolu,9,74972
1981,Broj,Oba spola ili bez podjele po spolu,10,72003
1981,Broj,Oba spola ili bez podjele po spolu,11,74982
1981,Broj,Oba spola ili bez podjele po spolu,12,77107
1981,Broj,Oba spola ili bez podjele po spolu,13,80150
1981,Broj,Oba spola ili bez podjele po spolu,14,83627
1981,Broj,Oba spola ili bez podjele po spolu,15,85479
1981,Broj,Oba spola ili bez podjele po spolu,16,84935
1981,Broj,Oba spola ili bez podjele po spolu,17,85902
1981,Broj,Oba spola ili bez podjele po spolu,18,85978
1981,Broj,Oba spola ili bez podjele po spolu,19,86377
1981,Broj,Oba spola ili bez podjele po spolu,20,86257
1981,Broj,Oba spola ili bez podjele po spolu,21,80015
1981,Broj,Oba spola ili bez podjele po spolu,22,80476
1981,Broj,Oba spola ili bez podjele po spolu,23,73088
1981,Broj,Oba spola ili bez podjele po spolu,24,72440
1981,Broj,Oba spola ili bez podjele po spolu,25,70240
1981,Broj,Oba spola ili bez podjele po spolu,26,73331
1981,Broj,Oba spola ili bez podjele po spolu,27,65100
1981,Broj,Oba spola ili bez podjele po spolu,28,69395
1981,Broj,Oba spola ili bez podjele po spolu,29,52038
