Year,UNIT_MEASURE,Value
2007,Broj,43.82
2008,Broj,35.76
2009,Broj,47.12
2010,Broj,38.95
2011,Broj,35.14
2012,Broj,41.44
2013,Broj,26.08
2014,Broj,17.67
2015,Broj,45.75
2016,Broj,51.07
2017,Broj,49.6
