Year,UNIT_MEASURE,school_year_beginning,Spol,Value
2013,Broj,2011/2012,Oba spola,316657
2013,Broj,2012/2013,Oba spola,304881
2013,Broj,2013/2014,Oba spola,302133
2013,Broj,2014/2015,Oba spola,296819
2013,Broj,2015/2016,Oba spola,291342
2013,Broj,2016/2017,Oba spola,287729
2013,Broj,2017/2018,Oba spola,282946
2013,Broj,2018/2019,Oba spola,280018
2013,Broj,2019/2020,Oba spola,274034
2013,Broj,2020/2021,Oba spola,268059
2013,Broj,2011/2012,M,162596
2013,Broj,2012/2013,M,156296
2013,Broj,2013/2014,M,154895
2013,Broj,2014/2015,M,152363
2013,Broj,2015/2016,M,149888
2013,Broj,2016/2017,M,148250
2013,Broj,2017/2018,M,145441
2013,Broj,2018/2019,M,143837
2013,Broj,2019/2020,M,140792
2013,Broj,2020/2021,M,137540
2013,Broj,2011/2012,Ž,154061
2013,Broj,2012/2013,Ž,148585
2013,Broj,2013/2014,Ž,147238
2013,Broj,2014/2015,Ž,144456
2013,Broj,2015/2016,Ž,141454
2013,Broj,2016/2017,Ž,139479
2013,Broj,2017/2018,Ž,137505
2013,Broj,2018/2019,Ž,136181
2013,Broj,2019/2020,Ž,133242
2013,Broj,2020/2021,Ž,130519
