Year,UNIT_MEASURE,Entitet,Value
2006,% od ukupnog broja,BiH,60.5
2006,% od ukupnog broja,FBiH,59.0
2006,% od ukupnog broja,Republika Srpska,63.6
2006,% od ukupnog broja,Brčko Distrikt BiH,52.0
2011,% od ukupnog broja,BiH,84.0
2011,% od ukupnog broja,FBiH,81.5
2011,% od ukupnog broja,Republika Srpska,88.9
2011,% od ukupnog broja,Brčko Distrikt BiH,65.3
2012,% od ukupnog broja,BiH,84.0
2012,% od ukupnog broja,FBiH,81.5
2012,% od ukupnog broja,Republika Srpska,88.9
2012,% od ukupnog broja,Brčko Distrikt BiH,65.3
