Year,UNIT_MEASURE,Spol,Admin. podrucje,Vitalna statistika,Value
2004,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-2454
2005,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-3480
2006,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-2708
2007,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-4036
2008,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-3303
2009,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-3172
2010,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-3370
2011,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-4097
2012,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-3818
2013,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-4468
2014,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-5074
2015,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-5702
2016,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-4518
2017,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-5324
2018,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-5195
2019,Broj,Oba spola,Republika Srpska,Prirodno kretanje,-5807
2002,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,898
2003,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,987
2004,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,984
2005,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,977
2006,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,912
2007,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,976
2008,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,905
2009,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,933
2010,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,916
2011,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,905
2012,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,964
2013,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,896
2014,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,919
2015,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,932
2016,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,878
2017,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,898
2018,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,861
2019,Broj,Oba spola,Brčko distrikt BiH,Živorođeni,899
2002,Broj,M,Brčko distrikt BiH,Živorođeni,507
2003,Broj,M,Brčko distrikt BiH,Živorođeni,501
2004,Broj,M,Brčko distrikt BiH,Živorođeni,469
2005,Broj,M,Brčko distrikt BiH,Živorođeni,506
2006,Broj,M,Brčko distrikt BiH,Živorođeni,480
2007,Broj,M,Brčko distrikt BiH,Živorođeni,504
2008,Broj,M,Brčko distrikt BiH,Živorođeni,511
2009,Broj,M,Brčko distrikt BiH,Živorođeni,496
2010,Broj,M,Brčko distrikt BiH,Živorođeni,488
2011,Broj,M,Brčko distrikt BiH,Živorođeni,448
2012,Broj,M,Brčko distrikt BiH,Živorođeni,481
2013,Broj,M,Brčko distrikt BiH,Živorođeni,476
2014,Broj,M,Brčko distrikt BiH,Živorođeni,499
2015,Broj,M,Brčko distrikt BiH,Živorođeni,514
2016,Broj,M,Brčko distrikt BiH,Živorođeni,472
2017,Broj,M,Brčko distrikt BiH,Živorođeni,472
2018,Broj,M,Brčko distrikt BiH,Živorođeni,448
2019,Broj,M,Brčko distrikt BiH,Živorođeni,456
2002,Broj,Ž,Brčko distrikt BiH,Živorođeni,391
2003,Broj,Ž,Brčko distrikt BiH,Živorođeni,486
2004,Broj,Ž,Brčko distrikt BiH,Živorođeni,515
2005,Broj,Ž,Brčko distrikt BiH,Živorođeni,471
2006,Broj,Ž,Brčko distrikt BiH,Živorođeni,432
2007,Broj,Ž,Brčko distrikt BiH,Živorođeni,472
2008,Broj,Ž,Brčko distrikt BiH,Živorođeni,394
2009,Broj,Ž,Brčko distrikt BiH,Živorođeni,437
2010,Broj,Ž,Brčko distrikt BiH,Živorođeni,428
2011,Broj,Ž,Brčko distrikt BiH,Živorođeni,457
2012,Broj,Ž,Brčko distrikt BiH,Živorođeni,483
2013,Broj,Ž,Brčko distrikt BiH,Živorođeni,420
2014,Broj,Ž,Brčko distrikt BiH,Živorođeni,420
2015,Broj,Ž,Brčko distrikt BiH,Živorođeni,418
2016,Broj,Ž,Brčko distrikt BiH,Živorođeni,406
2017,Broj,Ž,Brčko distrikt BiH,Živorođeni,426
2018,Broj,Ž,Brčko distrikt BiH,Živorođeni,413
2019,Broj,Ž,Brčko distrikt BiH,Živorođeni,443
2002,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,676
2003,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,771
2004,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,791
2005,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,830
2006,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,742
2007,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,818
2008,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,890
2009,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,912
2010,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,906
2011,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,954
2012,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,923
2013,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,936
2014,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,1000
2015,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,1114
2016,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,990
2017,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,1101
2018,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,1032
2019,Broj,Oba spola,Brčko distrikt BiH,Smrtni slučajevi,1132
2002,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,386
2003,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,425
2004,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,407
2005,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,429
2006,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,399
2007,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,427
2008,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,464
2009,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,483
2010,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,493
2011,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,480
2012,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,508
2013,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,474
2014,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,515
2015,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,557
2016,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,508
2017,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,553
2018,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,515
2019,Broj,M,Brčko distrikt BiH,Smrtni slučajevi,565
2002,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,290
2003,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,346
2004,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,384
2005,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,401
2006,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,343
2007,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,391
2008,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,426
2009,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,429
2010,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,413
2011,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,474
2012,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,415
2013,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,462
2014,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,485
2015,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,557
2016,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,482
2017,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,548
2018,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,517
2019,Broj,Ž,Brčko distrikt BiH,Smrtni slučajevi,567
2002,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,222
2003,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,216
2004,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,193
2005,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,147
2006,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,170
2007,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,158
2008,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,15
2009,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,21
2010,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,10
2011,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-49
2012,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,41
2013,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-40
2014,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-81
2015,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-182
2016,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-112
2017,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-203
2018,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-171
2019,Broj,Oba spola,Brčko distrikt BiH,Prirodno kretanje,-233
