Year,UNIT_MEASURE,Entity,Value
1996,children_pre_woman,BiH,1.647
1997,children_pre_woman,BiH,1.685
1998,children_pre_woman,BiH,1.558
1999,children_pre_woman,BiH,1.362
2000,children_pre_woman,BiH,1.279
2001,children_pre_woman,BiH,1.227
2002,children_pre_woman,BiH,1.228
2003,children_pre_woman,BiH,1.216
2004,children_pre_woman,BiH,1.218
2005,children_pre_woman,BiH,1.2
2006,children_pre_woman,BiH,1.177
2007,children_pre_woman,BiH,1.259
2008,children_pre_woman,BiH,1.285
2009,children_pre_woman,BiH,1.303
2010,children_pre_woman,BiH,1.267
2011,children_pre_woman,BiH,1.206
2012,children_pre_woman,BiH,1.349
2013,children_pre_woman,BiH,1.276
2014,children_pre_woman,BiH,1.259
2015,children_pre_woman,BiH,1.242
2016,children_pre_woman,BiH,1.259
2017,children_pre_woman,BiH,1.26
2018,children_pre_woman,BiH,1.253
2019,children_pre_woman,BiH,1.204
