Year,UNIT_MEASURE,school_year_beginning,Spol,Value
2013,Broj,2011/2012,Oba spola,24605
2013,Broj,2012/2013,Oba spola,24227
2013,Broj,2013/2014,Oba spola,24476
2013,Broj,2014/2015,Oba spola,24106
2013,Broj,2015/2016,Oba spola,23515
2013,Broj,2016/2017,Oba spola,23824
2013,Broj,2017/2018,Oba spola,23978
2013,Broj,2018/2019,Oba spola,24175
2013,Broj,2019/2020,Oba spola,24361
2013,Broj,2020/2021,Oba spola,24548
2013,Broj,2011/2012,M,7459
2013,Broj,2012/2013,M,7177
2013,Broj,2013/2014,M,7161
2013,Broj,2014/2015,M,6971
2013,Broj,2015/2016,M,6737
2013,Broj,2016/2017,M,6779
2013,Broj,2017/2018,M,6725
2013,Broj,2018/2019,M,6648
2013,Broj,2019/2020,M,6548
2013,Broj,2020/2021,M,6530
2013,Broj,2011/2012,Ž,17146
2013,Broj,2012/2013,Ž,17050
2013,Broj,2013/2014,Ž,17315
2013,Broj,2014/2015,Ž,17135
2013,Broj,2015/2016,Ž,16778
2013,Broj,2016/2017,Ž,17045
2013,Broj,2017/2018,Ž,17253
2013,Broj,2018/2019,Ž,17527
2013,Broj,2019/2020,Ž,17813
2013,Broj,2020/2021,Ž,18018
