Year,UNIT_MEASURE,Spol,Godine,Municipality,Value
2013,Broj,Oba spola,0-4,Banja Luka,9610
2013,Broj,Oba spola,5-9,Banja Luka,8736
2013,Broj,Oba spola,10-14,Banja Luka,8883
2013,Broj,Oba spola,15-19,Banja Luka,10550
2013,Broj,Oba spola,20-24,Banja Luka,10533
2013,Broj,Oba spola,25-29,Banja Luka,13183
2013,Broj,Oba spola,30-34,Banja Luka,15347
2013,Broj,Oba spola,35-39,Banja Luka,14826
2013,Broj,Oba spola,40-44,Banja Luka,12468
2013,Broj,Oba spola,45-49,Banja Luka,12033
2013,Broj,Oba spola,50-54,Banja Luka,13685
2013,Broj,Oba spola,55-59,Banja Luka,14345
2013,Broj,Oba spola,60-64,Banja Luka,13100
2013,Broj,Oba spola,65-69,Banja Luka,9075
2013,Broj,Oba spola,70-74,Banja Luka,7415
2013,Broj,Oba spola,75-79,Banja Luka,6357
2013,Broj,Oba spola,80-84,Banja Luka,3337
2013,Broj,Oba spola,85+,Banja Luka,1559
2013,Broj,Oba spola,Total,Banja Luka,185042
2013,Broj,Oba spola,0-4,Bihać,2652
2013,Broj,Oba spola,5-9,Bihać,2806
2013,Broj,Oba spola,10-14,Bihać,3393
2013,Broj,Oba spola,15-19,Bihać,4434
2013,Broj,Oba spola,20-24,Bihać,3937
2013,Broj,Oba spola,25-29,Bihać,4061
2013,Broj,Oba spola,30-34,Bihać,3814
2013,Broj,Oba spola,35-39,Bihać,4080
2013,Broj,Oba spola,40-44,Bihać,4198
2013,Broj,Oba spola,45-49,Bihać,4543
2013,Broj,Oba spola,50-54,Bihać,4429
2013,Broj,Oba spola,55-59,Bihać,3766
2013,Broj,Oba spola,60-64,Bihać,3027
2013,Broj,Oba spola,65-69,Bihać,2228
2013,Broj,Oba spola,70-74,Bihać,2168
2013,Broj,Oba spola,75-79,Bihać,1673
2013,Broj,Oba spola,80-84,Bihać,752
2013,Broj,Oba spola,85+,Bihać,300
2013,Broj,Oba spola,Total,Bihać,56261
2013,Broj,Oba spola,0-4,Bijeljina,5080
2013,Broj,Oba spola,5-9,Bijeljina,5136
2013,Broj,Oba spola,10-14,Bijeljina,5678
2013,Broj,Oba spola,15-19,Bijeljina,6427
2013,Broj,Oba spola,20-24,Bijeljina,6177
2013,Broj,Oba spola,25-29,Bijeljina,7304
2013,Broj,Oba spola,30-34,Bijeljina,7573
2013,Broj,Oba spola,35-39,Bijeljina,7494
2013,Broj,Oba spola,40-44,Bijeljina,7064
2013,Broj,Oba spola,45-49,Bijeljina,7793
2013,Broj,Oba spola,50-54,Bijeljina,8383
2013,Broj,Oba spola,55-59,Bijeljina,8270
2013,Broj,Oba spola,60-64,Bijeljina,8084
2013,Broj,Oba spola,65-69,Bijeljina,5323
2013,Broj,Oba spola,70-74,Bijeljina,4756
