Year,UNIT_MEASURE,Administrativna oblast,Value
2002,Broj,BiH,10.0
2003,Broj,BiH,5.0
2004,Broj,BiH,18.0
2005,Broj,BiH,18.0
2006,Broj,BiH,15.0
2007,Broj,BiH,22.0
2008,Broj,BiH,15.0
2009,Broj,BiH,10.0
2010,Broj,BiH,22.0
2011,Broj,BiH,30.0
2012,Broj,BiH,18.0
2013,Broj,BiH,14.0
2014,Broj,BiH,21.0
2015,Broj,BiH,12.0
2016,Broj,BiH,16.0
2017,Broj,BiH,20.0
2018,Broj,BiH,17.0
2019,Broj,BiH,42.0
