Year,UNIT_MEASURE,Entity,Value
1999,NUMBER,BiH,5470.0
1999,NUMBER,RS,5470.0
2000,NUMBER,BiH,4697.0
2000,NUMBER,RS,4697.0
2001,NUMBER,BiH,4565.0
2001,NUMBER,RS,4565.0
2002,NUMBER,BiH,3985.0
2002,NUMBER,RS,3985.0
2003,NUMBER,BiH,3881.0
2003,NUMBER,RS,3881.0
2004,NUMBER,BiH,3652.0
2004,NUMBER,RS,3652.0
2005,NUMBER,BiH,3804.0
2005,NUMBER,RS,3804.0
2006,NUMBER,BiH,4017.0
2006,NUMBER,RS,4017.0
2007,NUMBER,BiH,12674.0
2007,NUMBER,FBIH,8165.0
2007,NUMBER,RS,4509.0
2008,NUMBER,BiH,12546.0
2008,NUMBER,FBIH,8091.0
2008,NUMBER,RS,4455.0
2009,NUMBER,BiH,12795.0
2009,NUMBER,FBIH,8409.0
2009,NUMBER,RS,4386.0
2010,NUMBER,BiH,12967.0
2010,NUMBER,FBIH,8597.0
2010,NUMBER,RS,4370.0
2011,NUMBER,BiH,13001.0
2011,NUMBER,FBIH,8598.0
2011,NUMBER,RS,4403.0
2012,NUMBER,BiH,13107.0
2012,NUMBER,FBIH,8549.0
2012,NUMBER,RS,4558.0
2013,NUMBER,BiH,12748.0
2013,NUMBER,FBIH,8183.0
2013,NUMBER,RS,4565.0
2014,NUMBER,BiH,12989.0
2014,NUMBER,FBIH,8361.0
2014,NUMBER,RS,4628.0
2015,NUMBER,BiH,12965.0
2015,NUMBER,FBIH,8322.0
2015,NUMBER,RS,4643.0
2016,NUMBER,,
2016,NUMBER,,
2016,NUMBER,,
2017,NUMBER,,
2017,NUMBER,,
2017,NUMBER,,
2018,NUMBER,,
2018,NUMBER,,
2018,NUMBER,,
2018,NUMBER,,
2019,NUMBER,,
2019,NUMBER,,
