Year,UNIT_MEASURE,ADMIN_AREA,Value
1997,NUMBER,RS,0.42
1998,NUMBER,RS,1.59
1999,NUMBER,RS,0.5
2001,NUMBER,RS,0.42
2002,NUMBER,RS,0.33
2003,NUMBER,FBIH,0.34
2003,NUMBER,RS,0.34
2004,NUMBER,FBIH,0.43
2004,NUMBER,RS,0.08
2005,NUMBER,FBIH,0.47
2006,NUMBER,FBIH,0.52
2006,NUMBER,RS,0.35
2007,NUMBER,FBIH,0.17
2007,NUMBER,RS,0.07
2008,NUMBER,FBIH,0.3
2009,NUMBER,FBIH,0.17
2009,NUMBER,RS,0.28
2010,NUMBER,FBIH,0.13
2010,NUMBER,RS,0.28
2011,NUMBER,FBIH,0.86
2011,NUMBER,RS,0.35
2012,NUMBER,FBIH,0.73
2012,NUMBER,RS,0.56
2013,NUMBER,FBIH,0.68
2013,NUMBER,RS,0.56
2014,NUMBER,FBIH,0.64
2014,NUMBER,RS,0.14
2015,NUMBER,FBIH,0.43
2015,NUMBER,RS,0.17
2016,NUMBER,FBIH,0.73
2016,NUMBER,RS,0.6
2017,NUMBER,FBIH,0.32
2017,NUMBER,RS,0.43
2018,NUMBER,FBIH,0.87
2018,NUMBER,RS,0.44
2019,NUMBER,FBIH,0.96
