Year,UNIT_MEASURE,school_year_beginning,Пол,Value
2013,Број,2011/2012,Оба пола,12773
2013,Број,2012/2013,Оба пола,13043
2013,Број,2013/2014,Оба пола,13037
2013,Број,2014/2015,Оба пола,12774
2013,Број,2015/2016,Оба пола,12859
2013,Број,2016/2017,Оба пола,12652
2013,Број,2017/2018,Оба пола,12591
2013,Број,2018/2019,Оба пола,12551
2013,Број,2019/2020,Оба пола,12716
2013,Број,2020/2021,Оба пола,12735
2013,Број,2011/2012,M,5413
2013,Број,2012/2013,M,5404
2013,Број,2013/2014,M,5350
2013,Број,2014/2015,M,5172
2013,Број,2015/2016,M,5163
2013,Број,2016/2017,M,4999
2013,Број,2017/2018,M,4870
2013,Број,2018/2019,M,4815
2013,Број,2019/2020,M,4888
2013,Број,2020/2021,M,4814
2013,Број,2011/2012,Ж,7360
2013,Број,2012/2013,Ж,7639
2013,Број,2013/2014,Ж,7687
2013,Број,2014/2015,Ж,7602
2013,Број,2015/2016,Ж,7696
2013,Број,2016/2017,Ж,7653
2013,Број,2017/2018,Ж,7721
2013,Број,2018/2019,Ж,7736
2013,Број,2019/2020,Ж,7828
2013,Број,2020/2021,Ж,7921
