Year,Value,UNIT_MEASURE
1997,912,EUR
1998,1062,EUR
1999,1181,EUR
2000,1300,EUR
2001,1411,EUR
2002,1556,EUR
2003,1642,EUR
2004,1796,EUR
2005,2548,EUR
2006,2895,EUR
2007,3255,EUR
2008,3684,EUR
2009,3581,EUR
2010,3664,EUR
2011,3791,EUR
2012,3793,EUR
2013,3878,EUR
2014,3967,EUR
2015,4155,EUR
2016,4355,EUR
2017,4578,EUR
2018,4891,EUR
2019,5178,EUR
1997,1798,BAM
1998,2094,BAM
1999,2310,BAM
2000,2542,BAM
2001,2759,BAM
2002,3044,BAM
2003,3211,BAM
2004,3512,BAM
2005,4983,BAM
2006,5663,BAM
2007,6366,BAM
2008,7205,BAM
2009,7003,BAM
2010,7165,BAM
2011,7414,BAM
2012,7418,BAM
2013,7584,BAM
2014,7759,BAM
2015,8127,BAM
2016,8517,BAM
2017,8954,BAM
2018,9566,BAM
2019,10128,BAM
1997,1037,USD
1998,1189,USD
1999,1259,USD
2000,1200,USD
2001,1263,USD
2002,1466,USD
2003,1852,USD
2004,2229,USD
2005,3168,USD
2006,3632,USD
2007,4453,USD
2008,5390,USD
2009,4978,USD
2010,4851,USD
2011,5273,USD
2012,4872,USD
2013,5147,USD
2014,5265,USD
2015,4611,USD
2016,4818,USD
2017,5160,USD
2018,5771,USD
2019,5797,USD
