Year,Value,UNIT_MEASURE
1971,15.4,%
1972,14.5,%
1973,13.7,%
1974,13.8,%
1975,13.4,%
1976,13.4,%
1977,12.4,%
1978,11.4,%
1979,10.9,%
1980,10.9,%
1981,10.8,%
1982,11.2,%
1983,10.6,%
1984,10.8,%
1985,10.4,%
1986,9.9,%
1987,9.7,%
1988,9.6,%
1989,8.4,%
1990,8.7,%
1991,7.8,%
1996,5.9,%
1997,5.5,%
1998,4.5,%
1999,3.7,%
2000,2.4,%
2001,1.9,%
2002,1.4,%
2003,0.9,%
2004,0.7,%
2005,0.1,%
2006,0.2,%
2007,-0.3,%
2008,0.0,%
2009,-0.1,%
2010,-0.4,%
2011,-0.8,%
2012,-0.8,%
2013,-1.4,%
2014,-1.6,%
2015,-2.3,%
2016,-1.8,%
2017,-2.2,%
2018,-2.4,%
2019,-3.0,%
