Year,Value,UNIT_MEASURE
1971,9.4,Broj na 1.000 stanovnika
1981,8.9,Broj na 1.000 stanovnika
1991,6.5,Broj na 1.000 stanovnika
1996,5.8,Broj na 1.000 stanovnika
1997,6.2,Broj na 1.000 stanovnika
1998,6.1,Broj na 1.000 stanovnika
1999,6.0,Broj na 1.000 stanovnika
2000,5.8,Broj na 1.000 stanovnika
2001,5.3,Broj na 1.000 stanovnika
2002,5.3,Broj na 1.000 stanovnika
2003,5.4,Broj na 1.000 stanovnika
2004,5.8,Broj na 1.000 stanovnika
2005,5.6,Broj na 1.000 stanovnika
2006,5.6,Broj na 1.000 stanovnika
2007,6.12,Broj na 1.000 stanovnika
2008,5.77,Broj na 1.000 stanovnika
2009,5.37,Broj na 1.000 stanovnika
2010,5.08,Broj na 1.000 stanovnika
2011,4.99,Broj na 1.000 stanovnika
2012,4.75,Broj na 1.000 stanovnika
2013,5.0,Broj na 1.000 stanovnika
2014,5.3,Broj na 1.000 stanovnika
2015,5.6,Broj na 1.000 stanovnika
2016,5.5,Broj na 1.000 stanovnika
2017,5.7,Broj na 1.000 stanovnika
2018,5.7,Broj na 1.000 stanovnika
2019,5.4,Broj na 1.000 stanovnika
