Year,Value,UNIT_MEASURE
1965,107.61,Broj dječaka na 100 djevojčica
1970,107.0,Broj dječaka na 100 djevojčica
1975,106.91,Broj dječaka na 100 djevojčica
1980,106.81,Broj dječaka na 100 djevojčica
1988,107.9,Broj dječaka na 100 djevojčica
1989,105.4,Broj dječaka na 100 djevojčica
1990,106.56,Broj dječaka na 100 djevojčica
1991,105.61,Broj dječaka na 100 djevojčica
1996,109.92,Broj dječaka na 100 djevojčica
1997,109.51,Broj dječaka na 100 djevojčica
1998,108.54,Broj dječaka na 100 djevojčica
1999,103.88,Broj dječaka na 100 djevojčica
2000,106.53,Broj dječaka na 100 djevojčica
2001,105.91,Broj dječaka na 100 djevojčica
2002,105.82,Broj dječaka na 100 djevojčica
2003,108.44,Broj dječaka na 100 djevojčica
2004,106.55,Broj dječaka na 100 djevojčica
2005,105.75,Broj dječaka na 100 djevojčica
2006,106.44,Broj dječaka na 100 djevojčica
2007,107.56,Broj dječaka na 100 djevojčica
2008,105.99,Broj dječaka na 100 djevojčica
2009,108.77,Broj dječaka na 100 djevojčica
2010,106.31,Broj dječaka na 100 djevojčica
2011,108.19,Broj dječaka na 100 djevojčica
2012,106.56,Broj dječaka na 100 djevojčica
2013,106.64,Broj dječaka na 100 djevojčica
2014,106.31,Broj dječaka na 100 djevojčica
2015,105.85,Broj dječaka na 100 djevojčica
2016,108.63,Broj dječaka na 100 djevojčica
2017,107.9,Broj dječaka na 100 djevojčica
2018,107.53,Broj dječaka na 100 djevojčica
2019,109.24,Broj dječaka na 100 djevojčica
