Year,Value,UNIT_MEASURE
1971,6.6,Број на 1.000 становника
1972,7.0,Број на 1.000 становника
1973,6.4,Број на 1.000 становника
1974,6.0,Број на 1.000 становника
1975,6.4,Број на 1.000 становника
1976,6.2,Број на 1.000 становника
1977,6.1,Број на 1.000 становника
1978,6.3,Број на 1.000 становника
1979,6.1,Број на 1.000 становника
1980,6.4,Број на 1.000 становника
1981,6.3,Број на 1.000 становника
1982,6.4,Број на 1.000 становника
1983,7.2,Број на 1.000 становника
1984,6.9,Број на 1.000 становника
1985,6.9,Број на 1.000 становника
1986,6.9,Број на 1.000 становника
1987,6.9,Број на 1.000 становника
1988,6.9,Број на 1.000 становника
1989,7.0,Број на 1.000 становника
1990,6.7,Број на 1.000 становника
1991,7.2,Број на 1.000 становника
1996,6.9,Број на 1.000 становника
1997,7.5,Број на 1.000 становника
1998,7.9,Број на 1.000 становника
1999,7.7,Број на 1.000 становника
2000,8.1,Број на 1.000 становника
2001,8.0,Број на 1.000 становника
2002,7.9,Број на 1.000 становника
2003,8.3,Број на 1.000 становника
2004,8.5,Број на 1.000 становника
2005,9.0,Број на 1.000 становника
2006,8.6,Број на 1.000 становника
2007,9.1,Број на 1.000 становника
2008,8.9,Број на 1.000 становника
2009,9.1,Број на 1.000 становника
2010,9.1,Број на 1.000 становника
2011,9.1,Број на 1.000 становника
2012,9.3,Број на 1.000 становника
2013,10.1,Број на 1.000 становника
2014,10.2,Број на 1.000 становника
2015,10.8,Број на 1.000 становника
2016,10.4,Број на 1.000 становника
2017,10.8,Број на 1.000 становника
2018,10.8,Број на 1.000 становника
2019,11.1,Број на 1.000 становника
