Year,Value,UNIT_MEASURE
NUMBER,88.2,BiH
NUMBER,93.3,BiH
NUMBER,56.3,BiH
NUMBER,79.02670112,BiH
NUMBER,87.68640057,BiH
NUMBER,88.77714489,BiH
NUMBER,88.09425949,BiH
NUMBER,104.7187469,BiH
NUMBER,112.9112414,BiH
NUMBER,92.50952588,BiH
NUMBER,68.443286,BiH
NUMBER,81.25172827,BiH
NUMBER,77.1592019,BiH
NUMBER,77.72197157,BiH
NUMBER,61.80307887,BiH
NUMBER,67.94940144,BiH
NUMBER,85.76838442,BiH
NUMBER,120.5366465,BiH
NUMBER,125.8020291,BiH
NUMBER,148.0451682,BiH
NUMBER,144.0755243,BiH
NUMBER,150.513055,BiH
NUMBER,143.9397872,BiH
NUMBER,151.3345686,BiH
NUMBER,155.2408217,BiH
NUMBER,147.2140144,BiH
NUMBER,25.7282875,Федерација БиХ
NUMBER,68.36436087,Федерација БиХ
NUMBER,77.94383754,Федерација БиХ
NUMBER,84.07420371,Федерација БиХ
NUMBER,84.92874622,Федерација БиХ
NUMBER,100.7994984,Федерација БиХ
NUMBER,110.4818062,Федерација БиХ
NUMBER,89.60464051,Федерација БиХ
NUMBER,62.57758306,Федерација БиХ
NUMBER,70.92511013,Федерација БиХ
NUMBER,71.70304334,Федерација БиХ
NUMBER,69.62452728,Федерација БиХ
NUMBER,62.91501777,Федерација БиХ
NUMBER,58.88807608,Федерација БиХ
NUMBER,76.53218355,Федерација БиХ
NUMBER,96.98943522,Федерација БиХ
NUMBER,97.51243781,Федерација БиХ
NUMBER,119.8488709,Федерација БиХ
NUMBER,110.2487064,Федерација БиХ
NUMBER,115.7878508,Федерација БиХ
NUMBER,112.9788898,Федерација БиХ
NUMBER,132.7535786,Федерација БиХ
NUMBER,139.5758365,Федерација БиХ
NUMBER,136.3932822,Федерација БиХ
NUMBER,95.07911163,Република Српска
NUMBER,102.1430559,Република Српска
NUMBER,93.50057013,Република Српска
NUMBER,92.64590421,Република Српска
NUMBER,115.6149882,Република Српска
NUMBER,117.2404258,Република Српска
NUMBER,109.9128379,Република Српска
NUMBER,89.17821644,Република Српска
NUMBER,105.8737151,Република Српска
NUMBER,76.67638484,Република Српска
NUMBER,84.026505,Република Српска
NUMBER,49.52351195,Република Српска
NUMBER,74.21301582,Република Српска
NUMBER,89.64799723,Република Српска
NUMBER,152.7059635,Република Српска
NUMBER,164.851671,Република Српска
NUMBER,192.427291,Република Српска
NUMBER,189.9364589,Република Српска
NUMBER,193.8931298,Република Српска
NUMBER,184.2531008,Република Српска
NUMBER,165.4350017,Република Српска
NUMBER,161.4146832,Република Српска
NUMBER,158.0212985,Република Српска
NUMBER,90.0621118,Брчко Дистрикт БиХ
NUMBER,122.1374046,Брчко Дистрикт БиХ
NUMBER,122.7621483,Брчко Дистрикт БиХ
NUMBER,127.0553064,Брчко Дистрикт БиХ
NUMBER,135.2154532,Брчко Дистрикт БиХ
NUMBER,132.0224719,Брчко Дистрикт БиХ
NUMBER,120.5882353,Брчко Дистрикт БиХ
NUMBER,207.4626866,Брчко Дистрикт БиХ
NUMBER,249.1909385,Брчко Дистрикт БиХ
NUMBER,324.6329527,Брчко Дистрикт БиХ
NUMBER,335.7041252,Брчко Дистрикт БиХ
NUMBER,307.073955,Брчко Дистрикт БиХ
NUMBER,378.5822021,Брчко Дистрикт БиХ
NUMBER,464.1791045,Брчко Дистрикт БиХ
NUMBER,442.5727412,Брчко Дистрикт БиХ
NUMBER,410.8635097,Брчко Дистрикт БиХ
NUMBER,471.5189873,Брчко Дистрикт БиХ
NUMBER,312.1869783,Брчко Дистрикт БиХ
