Year,Value,UNIT_MEASURE
1965,107.61,Број дјечака на 100 ђевојчица
1970,107.0,Број дјечака на 100 ђевојчица
1975,106.91,Број дјечака на 100 ђевојчица
1980,106.81,Број дјечака на 100 ђевојчица
1988,107.9,Број дјечака на 100 ђевојчица
1989,105.4,Број дјечака на 100 ђевојчица
1990,106.56,Број дјечака на 100 ђевојчица
1991,105.61,Број дјечака на 100 ђевојчица
1996,109.92,Број дјечака на 100 ђевојчица
1997,109.51,Број дјечака на 100 ђевојчица
1998,108.54,Број дјечака на 100 ђевојчица
1999,103.88,Број дјечака на 100 ђевојчица
2000,106.53,Број дјечака на 100 ђевојчица
2001,105.91,Број дјечака на 100 ђевојчица
2002,105.82,Број дјечака на 100 ђевојчица
2003,108.44,Број дјечака на 100 ђевојчица
2004,106.55,Број дјечака на 100 ђевојчица
2005,105.75,Број дјечака на 100 ђевојчица
2006,106.44,Број дјечака на 100 ђевојчица
2007,107.56,Број дјечака на 100 ђевојчица
2008,105.99,Број дјечака на 100 ђевојчица
2009,108.77,Број дјечака на 100 ђевојчица
2010,106.31,Број дјечака на 100 ђевојчица
2011,108.19,Број дјечака на 100 ђевојчица
2012,106.56,Број дјечака на 100 ђевојчица
2013,106.64,Број дјечака на 100 ђевојчица
2014,106.31,Број дјечака на 100 ђевојчица
2015,105.85,Број дјечака на 100 ђевојчица
2016,108.63,Број дјечака на 100 ђевојчица
2017,107.9,Број дјечака на 100 ђевојчица
2018,107.53,Број дјечака на 100 ђевојчица
2019,109.24,Број дјечака на 100 ђевојчица
