Year,UNIT_MEASURE,Spol,Godine,Value
1981,Broj,Oba spola,55,35727
1981,Broj,Oba spola,56,32192
1981,Broj,Oba spola,57,29910
1981,Broj,Oba spola,58,29938
1981,Broj,Oba spola,59,24809
1981,Broj,Oba spola,60,28495
1981,Broj,Oba spola,61,24597
1981,Broj,Oba spola,62,13866
1981,Broj,Oba spola,63,11860
1981,Broj,Oba spola,64,10839
1981,Broj,Oba spola,65,14108
1981,Broj,Oba spola,66,21522
1981,Broj,Oba spola,67,19181
1981,Broj,Oba spola,68,20595
1981,Broj,Oba spola,69,16691
1981,Broj,Oba spola,70,20293
1981,Broj,Oba spola,71,16267
1981,Broj,Oba spola,72,13683
1981,Broj,Oba spola,73,14215
1981,Broj,Oba spola,74,13034
1981,Broj,Oba spola,75,12425
1981,Broj,Oba spola,76,10471
1981,Broj,Oba spola,77,8492
1981,Broj,Oba spola,78,7556
1981,Broj,Oba spola,79,5602
1981,Broj,Oba spola,80,11337
1981,Broj,Oba spola,81,4313
1981,Broj,Oba spola,82,3108
1981,Broj,Oba spola,83,2576
1981,Broj,Oba spola,84,2235
1981,Broj,Oba spola,85,2047
1981,Broj,Oba spola,86,1471
1981,Broj,Oba spola,87,1161
1981,Broj,Oba spola,88,1460
1981,Broj,Oba spola,89,742
1981,Broj,Oba spola,90,909
1981,Broj,Oba spola,91,475
1981,Broj,Oba spola,92,527
1981,Broj,Oba spola,93,334
1981,Broj,Oba spola,94,363
1981,Broj,Oba spola,95,300
1981,Broj,Oba spola,96,219
1981,Broj,Oba spola,97,195
1981,Broj,Oba spola,98,183
1981,Broj,Oba spola,99,103
1981,Broj,Oba spola,100,106
1981,Broj,Oba spola,101,0
1981,Broj,Oba spola,102,0
1981,Broj,Oba spola,103,0
1981,Broj,Oba spola,104,0
1981,Broj,Oba spola,105,0
1981,Broj,Oba spola,106,0
1981,Broj,Oba spola,107,0
1981,Broj,Oba spola,108,0
1981,Broj,Oba spola,109,0
1981,Broj,Oba spola,110,0
1981,Broj,Oba spola,111,0
1981,Broj,Oba spola,112,0
1981,Broj,Oba spola,113,0
1981,Broj,Oba spola,114,0
1981,Broj,Oba spola,115,0
1981,Broj,Oba spola,116,0
1981,Broj,Oba spola,117,0
1981,Broj,Oba spola,118,0
1981,Broj,Oba spola,119,0
