Year,UNIT_MEASURE,Sex,Age,Entity,Value
2013,Number,Both sexes or no breakdown by sex,0,Federation of BiH,21718
2013,Number,Both sexes or no breakdown by sex,1,Federation of BiH,22690
2013,Number,Both sexes or no breakdown by sex,2,Federation of BiH,22691
2013,Number,Both sexes or no breakdown by sex,3,Federation of BiH,23664
2013,Number,Both sexes or no breakdown by sex,4,Federation of BiH,24080
2013,Number,Both sexes or no breakdown by sex,5,Federation of BiH,23892
2013,Number,Both sexes or no breakdown by sex,6,Federation of BiH,22901
2013,Number,Both sexes or no breakdown by sex,7,Federation of BiH,22965
2013,Number,Both sexes or no breakdown by sex,8,Federation of BiH,23147
2013,Number,Both sexes or no breakdown by sex,9,Federation of BiH,23147
2013,Number,Both sexes or no breakdown by sex,10,Federation of BiH,23884
2013,Number,Both sexes or no breakdown by sex,11,Federation of BiH,24043
2013,Number,Both sexes or no breakdown by sex,12,Federation of BiH,24989
2013,Number,Both sexes or no breakdown by sex,13,Federation of BiH,25785
2013,Number,Both sexes or no breakdown by sex,14,Federation of BiH,27352
2013,Number,Both sexes or no breakdown by sex,15,Federation of BiH,30464
2013,Number,Both sexes or no breakdown by sex,16,Federation of BiH,35091
2013,Number,Both sexes or no breakdown by sex,17,Federation of BiH,35286
2013,Number,Both sexes or no breakdown by sex,18,Federation of BiH,33903
2013,Number,Both sexes or no breakdown by sex,19,Federation of BiH,27137
2013,Number,Both sexes or no breakdown by sex,20,Federation of BiH,25325
2013,Number,Both sexes or no breakdown by sex,21,Federation of BiH,29600
2013,Number,Both sexes or no breakdown by sex,22,Federation of BiH,32119
2013,Number,Both sexes or no breakdown by sex,23,Federation of BiH,31990
2013,Number,Both sexes or no breakdown by sex,24,Federation of BiH,31868
2013,Number,Both sexes or no breakdown by sex,25,Federation of BiH,32919
2013,Number,Both sexes or no breakdown by sex,26,Federation of BiH,32539
2013,Number,Both sexes or no breakdown by sex,27,Federation of BiH,32484
2013,Number,Both sexes or no breakdown by sex,28,Federation of BiH,32610
