Year,UNIT_MEASURE,Административно подручје,Value
2000,% од укупно,BiH,99.8
2000,% од укупно,Федерација БиХ,100.0
2000,% од укупно,Република Српска,98.6
2006,% од укупно,BiH,99.6
2006,% од укупно,Федерација БиХ,99.5
2006,% од укупно,Република Српска,99.8
2011,% од укупно,BiH,99.9
2011,% од укупно,Федерација БиХ,99.9
2011,% од укупно,Република Српска,100.0
2011,% од укупно,Брчко дистрикт БиХ,100.0
