Year,UNIT_MEASURE,Пол,Value
2010,% од укупно,M,28.1
2011,% од укупно,M,29.2
2012,% од укупно,M,30.5
2013,% од укупно,M,27.4
2014,% од укупно,M,27.9
2015,% од укупно,M,29.2
2016,% од укупно,M,28.0
2017,% од укупно,M,24.5
2018,% од укупно,M,22.1
2010,% од укупно,Ж,28.0
2011,% од укупно,Ж,26.1
2012,% од укупно,Ж,26.2
2013,% од укупно,Ж,24.1
2014,% од укупно,Ж,24.0
2015,% од укупно,Ж,26.0
2016,% од укупно,Ж,24.7
2017,% од укупно,Ж,24.0
2018,% од укупно,Ж,21.1
