Year,Municipality,AGE,UNIT_MEASURE,SEX,Value
2013,Sarajevo - Hadžići,Total,NUMBER,F,11977
2013,Han Pijesak,Total,NUMBER,_T,3530
2013,Han Pijesak,Total,NUMBER,M,1667
2013,Han Pijesak,Total,NUMBER,F,1863
2013,Sarajevo - Ilidža,Total,NUMBER,_T,66730
2013,Sarajevo - Ilidža,Total,NUMBER,M,32359
2013,Sarajevo - Ilidža,Total,NUMBER,F,34371
2013,Sarajevo - Ilijaš,Total,NUMBER,_T,19603
2013,Sarajevo - Ilijaš,Total,NUMBER,M,9381
2013,Sarajevo - Ilijaš,Total,NUMBER,F,10222
2013,Istočna Ilidža,Total,NUMBER,_T,14763
2013,Istočna Ilidža,Total,NUMBER,M,7069
2013,Istočna Ilidža,Total,NUMBER,F,7694
2013,Istočni Drvar,Total,NUMBER,_T,79
2013,Istočni Drvar,Total,NUMBER,M,53
2013,Istočni Drvar,Total,NUMBER,F,26
2013,Istočni Mostar,Total,NUMBER,_T,257
2013,Istočni Mostar,Total,NUMBER,M,142
2013,Istočni Mostar,Total,NUMBER,F,115
2013,Istočni Stari Grad,Total,NUMBER,_T,1131
2013,Istočni Stari Grad,Total,NUMBER,M,560
2013,Istočni Stari Grad,Total,NUMBER,F,571
2013,Istočno Novo Sarajevo,Total,NUMBER,_T,10642
2013,Istočno Novo Sarajevo,Total,NUMBER,M,5058
2013,Istočno Novo Sarajevo,Total,NUMBER,F,5584
2013,Jablanica,Total,NUMBER,_T,10111
2013,Jablanica,Total,NUMBER,M,5027
2013,Jablanica,Total,NUMBER,F,5084
2013,Jajce,Total,NUMBER,_T,27258
2013,Jajce,Total,NUMBER,M,13856
2013,Jajce,Total,NUMBER,F,13402
2013,Jezero,Total,NUMBER,_T,1144
2013,Jezero,Total,NUMBER,M,601
2013,Jezero,Total,NUMBER,F,543
2013,Kakanj,Total,NUMBER,_T,37441
2013,Kakanj,Total,NUMBER,M,18651
2013,Kakanj,Total,NUMBER,F,18790
2013,Kalesija,Total,NUMBER,_T,33053
2013,Kalesija,Total,NUMBER,M,16597
2013,Kalesija,Total,NUMBER,F,16456
2013,Kalinovik,Total,NUMBER,_T,2029
2013,Kalinovik,Total,NUMBER,M,987
2013,Kalinovik,Total,NUMBER,F,1042
2013,Kiseljak,Total,NUMBER,_T,20722
2013,Kiseljak,Total,NUMBER,M,10285
2013,Kiseljak,Total,NUMBER,F,10437
2013,Kladanj,Total,NUMBER,_T,12348
2013,Kladanj,Total,NUMBER,M,6108
2013,Kladanj,Total,NUMBER,F,6240
2013,Ključ,Total,NUMBER,_T,16744
2013,Ključ,Total,NUMBER,M,8365
2013,Ključ,Total,NUMBER,F,8379
2013,Kneževo,Total,NUMBER,_T,9793
2013,Kneževo,Total,NUMBER,M,4892
2013,Kneževo,Total,NUMBER,F,4901
2013,Konjic,Total,NUMBER,_T,25148
2013,Konjic,Total,NUMBER,M,12360
2013,Konjic,Total,NUMBER,F,12788
2013,Kostajnica,Total,NUMBER,_T,5977
2013,Kostajnica,Total,NUMBER,M,2967
2013,Kostajnica,Total,NUMBER,F,3010
2013,Kotor Varoš,Total,NUMBER,_T,19710
2013,Kotor Varoš,Total,NUMBER,M,9818
2013,Kotor Varoš,Total,NUMBER,F,9892
2013,Kozarska Dubica,Total,NUMBER,_T,21524
2013,Kozarska Dubica,Total,NUMBER,M,10516
2013,Kozarska Dubica,Total,NUMBER,F,11008
2013,Kreševo,Total,NUMBER,_T,5273
2013,Kreševo,Total,NUMBER,M,2597
2013,Kreševo,Total,NUMBER,F,2676
2013,Krupa Na Uni,Total,NUMBER,_T,1597
2013,Krupa Na Uni,Total,NUMBER,M,862
2013,Krupa Na Uni,Total,NUMBER,F,735
2013,Kupres - FBiH,Total,NUMBER,_T,5057
2013,Kupres - FBiH,Total,NUMBER,M,2541
2013,Kupres - FBiH,Total,NUMBER,F,2516
2013,Kupres - RS,Total,NUMBER,_T,300
2013,Kupres - RS,Total,NUMBER,M,160
2013,Kupres - RS,Total,NUMBER,F,140
2013,Laktaši,Total,NUMBER,_T,34966
2013,Laktaši,Total,NUMBER,M,17320
2013,Laktaši,Total,NUMBER,F,17646
2013,Livno,Total,NUMBER,_T,34133
2013,Livno,Total,NUMBER,M,17024
