Year,UNIT_MEASURE,Entity,Value
1971,NUMBER,BiH,15.4
1972,NUMBER,BiH,14.5
1973,NUMBER,BiH,13.7
1974,NUMBER,BiH,13.8
1975,NUMBER,BiH,13.4
1976,NUMBER,BiH,13.4
1977,NUMBER,BiH,12.4
1978,NUMBER,BiH,11.4
1979,NUMBER,BiH,10.9
1980,NUMBER,BiH,10.9
1981,NUMBER,BiH,10.8
1982,NUMBER,BiH,11.2
1983,NUMBER,BiH,10.6
1984,NUMBER,BiH,10.8
1985,NUMBER,BiH,10.4
1986,NUMBER,BiH,9.9
1987,NUMBER,BiH,9.7
1988,NUMBER,BiH,9.6
1989,NUMBER,BiH,8.4
1990,NUMBER,BiH,8.7
1991,NUMBER,BiH,7.8
1996,NUMBER,BiH,5.9
1997,NUMBER,BiH,5.5
1998,NUMBER,BiH,4.5
1999,NUMBER,BiH,3.7
2000,NUMBER,BiH,2.4
2001,NUMBER,BiH,1.9
2002,NUMBER,BiH,1.4
2003,NUMBER,BiH,0.9
2004,NUMBER,BiH,0.7
2005,NUMBER,BiH,0.1
2006,NUMBER,BiH,0.2
2007,NUMBER,BiH,-0.3
2008,NUMBER,BiH,0.0
2009,NUMBER,BiH,-0.1
2010,NUMBER,BiH,-0.4
2011,NUMBER,BiH,-0.8
2012,NUMBER,BiH,-0.8
2013,NUMBER,BiH,-1.4
2014,NUMBER,BiH,-1.6
2015,NUMBER,BiH,-2.3
2016,NUMBER,BiH,-1.8
2017,NUMBER,BiH,-2.2
2018,NUMBER,BiH,-2.4
2019,NUMBER,BiH,-3.0
1996,NUMBER,FBIH,8.9
1997,NUMBER,FBIH,7.7
1998,NUMBER,FBIH,6.8
1999,NUMBER,FBIH,5.2
2000,NUMBER,FBIH,3.6
2001,NUMBER,FBIH,3.1
2002,NUMBER,FBIH,2.6
2003,NUMBER,FBIH,2.1
2004,NUMBER,FBIH,1.7
2005,NUMBER,FBIH,1.1
2006,NUMBER,FBIH,1.3
2007,NUMBER,FBIH,1.0
2008,NUMBER,FBIH,1.5
2009,NUMBER,FBIH,1.2
2010,NUMBER,FBIH,0.8
2011,NUMBER,FBIH,0.4
2012,NUMBER,FBIH,0.3
2013,NUMBER,FBIH,-0.1
2014,NUMBER,FBIH,-0.2
2015,NUMBER,FBIH,-1.1
2016,NUMBER,FBIH,-0.7
2017,NUMBER,FBIH,-0.8
2018,NUMBER,FBIH,-1.2
2019,NUMBER,FBIH,-1.8
1996,NUMBER,RS,1.1
1997,NUMBER,RS,1.6
1998,NUMBER,RS,0.8
1999,NUMBER,RS,1.5
2000,NUMBER,RS,0.6
2001,NUMBER,RS,0.1
2002,NUMBER,RS,-0.5
2003,NUMBER,RS,-2.1
2004,NUMBER,RS,-2.1
2005,NUMBER,RS,-2.9
2006,NUMBER,RS,-2.3
2007,NUMBER,RS,-3.4
2008,NUMBER,RS,-2.8
2009,NUMBER,RS,-2.7
2010,NUMBER,RS,-2.9
2011,NUMBER,RS,-3.5
2012,NUMBER,RS,-3.3
2013,NUMBER,RS,-3.8
2014,NUMBER,RS,-4.3
2015,NUMBER,RS,-4.9
2016,NUMBER,RS,-3.9
2017,NUMBER,RS,-4.6
2018,NUMBER,RS,-4.6
2019,NUMBER,RS,-5.1
2004,NUMBER,BD,2.6
2005,NUMBER,BD,2.0
2006,NUMBER,BD,2.3
2007,NUMBER,BD,2.1
2008,NUMBER,BD,0.2
2009,NUMBER,BD,0.3
2010,NUMBER,BD,0.1
2011,NUMBER,BD,-0.6
2012,NUMBER,BD,0.5
2013,NUMBER,BD,-0.5
2014,NUMBER,BD,-1.0
2015,NUMBER,BD,-2.2
2016,NUMBER,BD,-1.3
2017,NUMBER,BD,-2.4
2018,NUMBER,BD,-2.1
2019,NUMBER,BD,-2.8
