Year,AGE,Entity,UNIT_MEASURE,Value
1997,13 - 14,FBIH,NUMBER,11
1997,15 - 19,FBIH,NUMBER,3128
1997,13 - 14,RS,NUMBER,0
1997,15 - 19,RS,NUMBER,0
1997,13 - 14,BD,NUMBER,0
1997,15 - 19,BD,NUMBER,0
1997,13 - 14,BiH,NUMBER,11
1997,15 - 19,BiH,NUMBER,3128
1998,13 - 14,FBIH,NUMBER,2
1998,15 - 19,FBIH,NUMBER,2395
1998,13 - 14,RS,NUMBER,0
1998,15 - 19,RS,NUMBER,796
1998,13 - 14,BD,NUMBER,0
1998,15 - 19,BD,NUMBER,0
1998,13 - 14,BiH,NUMBER,2
1998,15 - 19,BiH,NUMBER,3191
1999,13 - 14,FBIH,NUMBER,0
1999,15 - 19,FBIH,NUMBER,2073
1999,13 - 14,RS,NUMBER,1
1999,15 - 19,RS,NUMBER,907
1999,13 - 14,BD,NUMBER,0
1999,15 - 19,BD,NUMBER,0
1999,13 - 14,BiH,NUMBER,1
1999,15 - 19,BiH,NUMBER,2980
2000,13 - 14,FBIH,NUMBER,3
2000,15 - 19,FBIH,NUMBER,1806
2000,13 - 14,RS,NUMBER,1
2000,15 - 19,RS,NUMBER,722
2000,13 - 14,BD,NUMBER,0
2000,15 - 19,BD,NUMBER,0
2000,13 - 14,BiH,NUMBER,4
2000,15 - 19,BiH,NUMBER,2528
2001,13 - 14,FBIH,NUMBER,13
2001,15 - 19,FBIH,NUMBER,1679
2001,13 - 14,RS,NUMBER,2
2001,15 - 19,RS,NUMBER,938
2001,13 - 14,BD,NUMBER,0
2001,15 - 19,BD,NUMBER,0
2001,13 - 14,BiH,NUMBER,15
2001,15 - 19,BiH,NUMBER,2617
2002,13 - 14,FBIH,NUMBER,10
2002,15 - 19,FBIH,NUMBER,1561
2002,13 - 14,RS,NUMBER,4
2002,15 - 19,RS,NUMBER,787
2002,13 - 14,BD,NUMBER,0
2002,15 - 19,BD,NUMBER,0
2002,13 - 14,BiH,NUMBER,14
2002,15 - 19,BiH,NUMBER,2348
2003,13 - 14,FBIH,NUMBER,9
2003,15 - 19,FBIH,NUMBER,1457
2003,13 - 14,RS,NUMBER,0
2003,15 - 19,RS,NUMBER,688
2003,13 - 14,BD,NUMBER,0
2003,15 - 19,BD,NUMBER,0
2003,13 - 14,BiH,NUMBER,9
2003,15 - 19,BiH,NUMBER,2145
2004,13 - 14,FBIH,NUMBER,7
2004,15 - 19,FBIH,NUMBER,1396
2004,13 - 14,RS,NUMBER,4
2004,15 - 19,RS,NUMBER,697
2004,13 - 14,BD,NUMBER,1
2004,15 - 19,BD,NUMBER,43
2004,13 - 14,BiH,NUMBER,12
2004,15 - 19,BiH,NUMBER,2136
2005,13 - 14,FBIH,NUMBER,2
2005,15 - 19,FBIH,NUMBER,1296
2005,13 - 14,RS,NUMBER,3
2005,15 - 19,RS,NUMBER,659
2005,13 - 14,BD,NUMBER,1
2005,15 - 19,BD,NUMBER,52
2005,13 - 14,BiH,NUMBER,6
2005,15 - 19,BiH,NUMBER,2007
2006,13 - 14,FBIH,NUMBER,4
2006,15 - 19,FBIH,NUMBER,1399
2006,13 - 14,RS,NUMBER,3
2006,15 - 19,RS,NUMBER,586
2006,13 - 14,BD,NUMBER,1
2006,15 - 19,BD,NUMBER,57
2006,13 - 14,BiH,NUMBER,8
2006,15 - 19,BiH,NUMBER,2042
2007,13 - 14,FBIH,NUMBER,2
2007,15 - 19,FBIH,NUMBER,1357
2007,13 - 14,RS,NUMBER,3
2007,15 - 19,RS,NUMBER,557
2007,13 - 14,BD,NUMBER,2
2007,15 - 19,BD,NUMBER,57
2007,13 - 14,BiH,NUMBER,7
2007,15 - 19,BiH,NUMBER,1971
2008,13 - 14,FBIH,NUMBER,2
