Year,UNIT_MEASURE,ADMIN_AREA,Value
1999,NUMBER,RS,3401
2000,NUMBER,RS,3508
2001,NUMBER,RS,3689
2002,NUMBER,RS,3815
2003,NUMBER,RS,3636
2004,NUMBER,RS,3316
2005,NUMBER,RS,3625.11
2006,NUMBER,RS,3091.45
2007,NUMBER,FBIH,4656.72
2007,NUMBER,RS,2680.96
2008,NUMBER,FBIH,4654.39
2008,NUMBER,RS,2465.66
2009,NUMBER,FBIH,4416.16
2009,NUMBER,RS,2281.68
2010,NUMBER,FBIH,4219.6
2010,NUMBER,RS,2187.84
2011,NUMBER,FBIH,4531.53
2011,NUMBER,RS,2156.36
2012,NUMBER,FBIH,3943.13
2012,NUMBER,RS,2098.81
2013,NUMBER,FBIH,3514.59
2013,NUMBER,RS,2081.09
2014,NUMBER,FBIH,3482.45
2014,NUMBER,RS,2074.91
2015,NUMBER,FBIH,3468.57
2015,NUMBER,RS,1704.05
2016,NUMBER,FBIH,3263.66
2016,NUMBER,RS,1651.24
2017,NUMBER,FBIH,2994.82
2017,NUMBER,RS,1723.49
2018,NUMBER,FBIH,2752.17
2018,NUMBER,RS,1713.29
2019,NUMBER,FBIH,2508.7
2018,NUMBER,BD,2774.47
