Year,UNIT_MEASURE,ADMIN_AREA,Value
1997,NUMBER,BiH,1835
1998,NUMBER,BiH,1964
1999,NUMBER,BiH,1995
2000,NUMBER,BiH,1929
2001,NUMBER,BiH,2126
2002,NUMBER,BiH,2272
2003,NUMBER,BiH,1918
2004,NUMBER,BiH,1523
2005,NUMBER,BiH,1763
2006,NUMBER,BiH,1659
2007,NUMBER,BiH,1826
2008,NUMBER,BiH,1369
2009,NUMBER,BiH,1402
2010,NUMBER,BiH,1676
2011,NUMBER,BiH,2309
2012,NUMBER,BiH,2294
2013,NUMBER,BiH,2609
2014,NUMBER,BiH,2686
2015,NUMBER,BiH,2963
2016,NUMBER,BiH,2773
2017,NUMBER,BiH,3022
2018,NUMBER,BiH,3091
2019,NUMBER,BiH,2790
