Year,UNIT_MEASURE,AGE,SEX,Value
2018,NUMBER,Total,_T,3492023.00
2018,NUMBER,0-4,_T,148947.00
2018,NUMBER,5-9,_T,171135.00
2018,NUMBER,10-14,_T,177098.00
2018,NUMBER,15-19,_T,190602.00
2018,NUMBER,20-24,_T,242893.00
2018,NUMBER,25-29,_T,225428.00
2018,NUMBER,30-34,_T,251233.00
2018,NUMBER,35-39,_T,252481.00
2018,NUMBER,40-44,_T,248144.00
2018,NUMBER,45-49,_T,239073.00
2018,NUMBER,50-54,_T,255492.00
2018,NUMBER,55-59,_T,266164.00
2018,NUMBER,60-64,_T,248062.00
2018,NUMBER,65-69,_T,206798.00
2018,NUMBER,70-74,_T,137662.00
2018,NUMBER,75-79,_T,110151.00
2018,NUMBER,80-84,_T,79091.00
2018,NUMBER,85-89,_T,32495.00
2018,NUMBER,90-94,_T,7766.00
2018,NUMBER,95-99,_T,1075.00
2018,NUMBER,100-104,_T,221.00
2018,NUMBER,105-109,_T,12.00
2018,NUMBER,110-114,_T,0.00
2018,NUMBER,115-119,_T,0.00
2018,NUMBER,120+,_T,0.00
2018,_%,Total,_T,100.00
2018,_%,0-4,_T,4.27
2018,_%,5-9,_T,4.90
2018,_%,10-14,_T,5.07
2018,_%,15-19,_T,5.46
2018,_%,20-24,_T,6.96
2018,_%,25-29,_T,6.46
2018,_%,30-34,_T,7.19
2018,_%,35-39,_T,7.23
2018,_%,40-44,_T,7.11
2018,_%,45-49,_T,6.85
2018,_%,50-54,_T,7.32
2018,_%,55-59,_T,7.62
2018,_%,60-64,_T,7.10
2018,_%,65-69,_T,5.92
2018,_%,70-74,_T,3.94
2018,_%,75-79,_T,3.15
2018,_%,80-84,_T,2.26
2018,_%,85-89,_T,0.93
2018,_%,90-94,_T,0.22
2018,_%,95-99,_T,0.03
2018,_%,100-104,_T,0.01
2018,_%,105-109,_T,0.00
2018,_%,110-114,_T,0.00
2018,_%,115-119,_T,0.00
2018,_%,120+,_T,0.00
2018,_%,0-14,_T,497180.00
2018,_%,0-18,_T,647325.00
2018,_%,15-29,_T,658923.00
2018,_%,15-49,_T,1649854.00
2018,_%,15-64,_T,2419572.00
2018,_%,65+,_T,575271.00
2018,_%,75+,_T,230811.00
2018,_%,85+,_T,41569.00
2018,_%,100+,_T,233.00
2018,_%,0-14,_T,14.24
2018,_%,0-18,_T,18.54
2018,_%,15-29,_T,18.87
2018,_%,15-49,_T,47.25
2018,_%,15-64,_T,69.29
2018,_%,65+,_T,16.47
2018,_%,75+,_T,6.61
2018,_%,85+,_T,1.19
2018,_%,100+,_T,0.01
2020,NUMBER,Total,_T,3430316.35
2020,NUMBER,0-4,_T,146421.55
2020,NUMBER,5-9,_T,157739.47
2020,NUMBER,10-14,_T,177407.96
2020,NUMBER,15-19,_T,178593.11
2020,NUMBER,20-24,_T,213398.66
2020,NUMBER,25-29,_T,214211.15
2020,NUMBER,30-34,_T,236476.26
2020,NUMBER,35-39,_T,247934.84
2020,NUMBER,40-44,_T,244996.58
2020,NUMBER,45-49,_T,240020.87
2020,NUMBER,50-54,_T,241454.30
2020,NUMBER,55-59,_T,262446.33
2020,NUMBER,60-64,_T,252299.20
2020,NUMBER,65-69,_T,221359.60
2020,NUMBER,70-74,_T,163146.24
2020,NUMBER,75-79,_T,98627.21
2020,NUMBER,80-84,_T,84431.30
2020,NUMBER,85-89,_T,37760.85
2020,NUMBER,90-94,_T,10118.62
2020,NUMBER,95-99,_T,1293.83
2020,NUMBER,100-104,_T,165.38
2020,NUMBER,105-109,_T,12.82
2020,NUMBER,110-114,_T,0.24
2020,NUMBER,115-119,_T,0.00
2020,NUMBER,120+,_T,0.00
2020,_%,Total,_T,100.00
2020,_%,0-4,_T,4.27
2020,_%,5-9,_T,4.60
2020,_%,10-14,_T,5.17
2020,_%,15-19,_T,5.21
2020,_%,20-24,_T,6.22
2020,_%,25-29,_T,6.24
2020,_%,30-34,_T,6.89
2020,_%,35-39,_T,7.23
2020,_%,40-44,_T,7.14
2020,_%,45-49,_T,7.00
2020,_%,50-54,_T,7.04
2020,_%,55-59,_T,7.65
2020,_%,60-64,_T,7.35
2020,_%,65-69,_T,6.45
2020,_%,70-74,_T,4.76
2020,_%,75-79,_T,2.88
2020,_%,80-84,_T,2.46
2020,_%,85-89,_T,1.10
2020,_%,90-94,_T,0.29
2020,_%,95-99,_T,0.04
2020,_%,100-104,_T,0.00
2020,_%,105-109,_T,0.00
2020,_%,110-114,_T,0.00
2020,_%,115-119,_T,0.00
2020,_%,120+,_T,0.00
2020,_%,0-14,_T,481568.97
2020,_%,0-18,_T,623310.55
2020,_%,15-29,_T,606202.92
2020,_%,15-49,_T,1575631.46
2020,_%,15-64,_T,2331831.29
2020,_%,65+,_T,616916.09
2020,_%,75+,_T,232410.25
2020,_%,85+,_T,49351.73
2020,_%,100+,_T,178.44
2020,_%,0-14,_T,14.04
2020,_%,0-18,_T,18.17
2020,_%,15-29,_T,17.67
2020,_%,15-49,_T,45.93
2020,_%,15-64,_T,67.98
2020,_%,65+,_T,17.98
2020,_%,75+,_T,6.78
2020,_%,85+,_T,1.44
2020,_%,100+,_T,0.01
2025,NUMBER,Total,_T,3269526.46
2025,NUMBER,0-4,_T,133214.28
2025,NUMBER,5-9,_T,143022.18
2025,NUMBER,10-14,_T,155594.32
2025,NUMBER,15-19,_T,172127.24
2025,NUMBER,20-24,_T,159922.25
2025,NUMBER,25-29,_T,185213.08
2025,NUMBER,30-34,_T,194146.16
2025,NUMBER,35-39,_T,220196.28
2025,NUMBER,40-44,_T,234442.56
2025,NUMBER,45-49,_T,234797.14
2025,NUMBER,50-54,_T,232812.25
2025,NUMBER,55-59,_T,235373.58
2025,NUMBER,60-64,_T,254390.20
2025,NUMBER,65-69,_T,239195.16
2025,NUMBER,70-74,_T,199277.81
2025,NUMBER,75-79,_T,135243.77
2025,NUMBER,80-84,_T,71693.48
2025,NUMBER,85-89,_T,49591.19
2025,NUMBER,90-94,_T,16258.46
2025,NUMBER,95-99,_T,2799.11
2025,NUMBER,100-104,_T,202.64
2025,NUMBER,105-109,_T,12.80
2025,NUMBER,110-114,_T,0.52
2025,NUMBER,115-119,_T,0.00
