Year,UNIT_MEASURE,Value
2007,NUMBER,43.82
2008,NUMBER,35.76
2009,NUMBER,47.12
2010,NUMBER,38.95
2011,NUMBER,35.14
2012,NUMBER,41.44
2013,NUMBER,26.08
2014,NUMBER,17.67
2015,NUMBER,45.75
2016,NUMBER,51.07
2017,NUMBER,49.60
