Year,SEX,UNIT_MEASURE,Value
2020,_T,number_birth_rate,8.6
2025,_T,number_birth_rate,8.0
2030,_T,number_birth_rate,7.4
2035,_T,number_birth_rate,6.9
2040,_T,number_birth_rate,6.7
2045,_T,number_birth_rate,6.5
2050,_T,number_birth_rate,6.4
2055,_T,number_birth_rate,6.4
2060,_T,number_birth_rate,6.3
2065,_T,number_birth_rate,6.2
2070,_T,number_birth_rate,6.2
2020,M,number_birth_rate,9.06
2025,M,number_birth_rate,8.49
2030,M,number_birth_rate,7.92
2035,M,number_birth_rate,7.47
2040,M,number_birth_rate,7.29
2045,M,number_birth_rate,7.22
2050,M,number_birth_rate,7.19
2055,M,number_birth_rate,7.16
2060,M,number_birth_rate,7.11
2065,M,number_birth_rate,7.08
2070,M,number_birth_rate,7.12
2020,F,number_birth_rate,8.16
2025,F,number_birth_rate,7.50
2030,F,number_birth_rate,6.86
2035,F,number_birth_rate,6.35
2040,F,number_birth_rate,6.10
2045,F,number_birth_rate,5.94
2050,F,number_birth_rate,5.81
2055,F,number_birth_rate,5.69
2060,F,number_birth_rate,5.56
2065,F,number_birth_rate,5.45
2070,F,number_birth_rate,5.41
