Year,UNIT_MEASURE,Value
1971,Age,22.20
1981,Age,23.00
2004,Age,24.34
2005,Age,24.41
2006,Age,24.51
2007,Age,24.76
2008,Age,24.94
2009,Age,25.25
2010,Age,25.87
2011,Age,26.25
2012,Age,26.45
2013,Age,26.69
2014,Age,26.97
2015,Age,27.17
2016,Age,26.96
2017,Age,27.28
2018,Age,27.40
2019,Age,27.68
