Year,UNIT_MEASURE,Value
2013,NUMBER,183.39
2014,NUMBER,189.12
2015,NUMBER,186.70
2016,NUMBER,187.91
2017,NUMBER,190.47
2018,NUMBER,194.56
2019,NUMBER,201.34
