Year,UNIT_MEASURE,Entity,Value
2008,NUMBER,BiH,4105.00
2008,NUMBER,FBIH,4105.00
2009,NUMBER,BiH,3806.00
2009,NUMBER,FBIH,3806.00
2010,NUMBER,BiH,3080.00
2010,NUMBER,FBIH,3080.00
2011,NUMBER,BiH,4598.00
2011,NUMBER,FBIH,4598.00
2012,NUMBER,BiH,4823.00
2012,NUMBER,FBIH,4823.00
2013,NUMBER,BiH,4597.00
2013,NUMBER,FBIH,4597.00
2014,NUMBER,BiH,4730.00
2014,NUMBER,FBIH,4730.00
2015,NUMBER,BiH,4788.00
2015,NUMBER,FBIH,4788.00
2016,NUMBER,BiH,4909.00
2016,NUMBER,FBIH,4909.00
2017,NUMBER,BiH,5038.00
2017,NUMBER,FBIH,5038.00
2018,NUMBER,BiH,4910.00
2018,NUMBER,FBIH,4910.00
