Year,SEX,UNIT_MEASURE,Value
1996,M,Age,27.7
1997,M,Age,28.0
1998,M,Age,27.9
1999,M,Age,27.8
2000,M,Age,27.8
2001,M,Age,27.8
2002,M,Age,27.8
2003,M,Age,28.1
2004,M,Age,28.0
2005,M,Age,28.1
2006,M,Age,28.3
2007,M,Age,28.3
2008,M,Age,28.3
2009,M,Age,28.3
2010,M,Age,28.9
2011,M,Age,29.1
2012,M,Age,29.3
2013,M,Age,29.6
2014,M,Age,29.6
2015,M,Age,29.5
2016,M,Age,29.4
2017,M,Age,29.5
2018,M,Age,29.7
2019,M,Age,29.5
1996,F,Age,24.2
1997,F,Age,24.3
1998,F,Age,24.3
1999,F,Age,24.3
2000,F,Age,24.2
2001,F,Age,24.2
2002,F,Age,24.3
2003,F,Age,24.6
2004,F,Age,24.5
2005,F,Age,24.6
2006,F,Age,24.9
2007,F,Age,24.9
2008,F,Age,24.9
2009,F,Age,24.8
2010,F,Age,25.7
2011,F,Age,25.9
2012,F,Age,26.1
2013,F,Age,26.4
2014,F,Age,26.4
2015,F,Age,26.4
2016,F,Age,26.4
2017,F,Age,26.6
2018,F,Age,27.1
2019,F,Age,26.8
