Year,UNIT_MEASURE,SEX,ADMIN_AREA,Value
2004,Age,_T,BiH,37.8
2007,Age,_T,BiH,38.3
2011,Age,_T,BiH,39.7
2013,Age,_T,BiH,39.5
2015,Age,_T,BiH,41.9
2004,Age,_T,FBIH,36.4
2007,Age,_T,FBIH,37.0
2011,Age,_T,FBIH,38.5
2013,Age,_T,FBIH,38.5
2015,Age,_T,FBIH,40.7
2004,Age,_T,RS,40.1
2007,Age,_T,RS,40.8
2011,Age,_T,RS,42.0
2013,Age,_T,RS,41.4
2015,Age,_T,RS,44.4
2004,Age,_T,BD,38.3
2007,Age,_T,BD,39.5
2011,Age,_T,BD,40.4
2013,Age,_T,BD,39.7
2015,Age,_T,BD,40.8
2004,Age,M,BiH,36.8
2007,Age,M,BiH,37.2
2011,Age,M,BiH,38.6
2013,Age,M,BiH,38.2
2015,Age,M,BiH,40.5
2004,Age,M,FBIH,35.6
2007,Age,M,FBIH,35.8
2011,Age,M,FBIH,37.6
2013,Age,M,FBIH,37.2
2015,Age,M,FBIH,39.2
2004,Age,M,RS,39.0
2007,Age,M,RS,39.6
2011,Age,M,RS,40.5
2013,Age,M,RS,40.0
2015,Age,M,RS,43.0
2004,Age,M,BD,37.2
2007,Age,M,BD,38.7
2011,Age,M,BD,39.2
2013,Age,M,BD,38.4
2015,Age,M,BD,39.8
2004,Age,F,BiH,38.7
2007,Age,F,BiH,39.4
2011,Age,F,BiH,40.8
2013,Age,F,BiH,40.7
2015,Age,F,BiH,43.3
2004,Age,F,FBIH,37.2
2007,Age,F,FBIH,38.1
2011,Age,F,FBIH,39.4
2013,Age,F,FBIH,39.7
2015,Age,F,FBIH,42.2
2004,Age,F,RS,41.1
2007,Age,F,RS,42.0
2011,Age,F,RS,43.6
2013,Age,F,RS,42.7
2015,Age,F,RS,45.7
2004,Age,F,BD,39.3
2007,Age,F,BD,40.2
2011,Age,F,BD,41.7
2013,Age,F,BD,40.9
2015,Age,F,BD,41.7
