Year,UNIT_MEASURE,Entity,Value
2005,NUMBER,BiH,351.00
2005,NUMBER,RS,351.00
2006,NUMBER,BiH,331.00
2006,NUMBER,RS,331.00
2007,NUMBER,BiH,918.00
2007,NUMBER,FBIH,521.00
2007,NUMBER,RS,397.00
2008,NUMBER,BiH,852.00
2008,NUMBER,FBIH,425.00
2008,NUMBER,RS,427.00
2009,NUMBER,BiH,963.00
2009,NUMBER,FBIH,560.00
2009,NUMBER,RS,403.00
2010,NUMBER,BiH,876.00
2010,NUMBER,FBIH,465.00
2010,NUMBER,RS,411.00
2011,NUMBER,BiH,852.00
2011,NUMBER,FBIH,419.00
2011,NUMBER,RS,433.00
2012,NUMBER,BiH,488.00
2012,NUMBER,FBIH,488.00
2013,NUMBER,BiH,307.00
2013,NUMBER,FBIH,307.00
2014,NUMBER,BiH,208.00
2014,NUMBER,FBIH,208.00
2015,NUMBER,BiH,538.00
2015,NUMBER,FBIH,538.00
2016,NUMBER,BiH,1023.00
2016,NUMBER,FBIH,574.00
2016,NUMBER,RS,449.00
2017,NUMBER,BiH,556.00
2017,NUMBER,FBIH,556.00
