Year,UNIT_MEASURE,Value
2008,NUMBER,189.50
2009,NUMBER,190.00
2010,NUMBER,157.80
2011,NUMBER,217.30
2012,NUMBER,232.30
2013,NUMBER,235.10
2014,NUMBER,240.70
2015,NUMBER,249.30
2016,NUMBER,254.20
2017,NUMBER,258.60
2018,NUMBER,279.60
