Year,UNIT_MEASURE,school_year_end,Type_of_school,SEX,Value
2013,NUMBER,2010/2011,_T,_T,35349
2013,NUMBER,2011/2012,_T,_T,34791
2013,NUMBER,2012/2013,_T,_T,40630
2013,NUMBER,2013/2014,_T,_T,43991
2013,NUMBER,2014/2015,_T,_T,43318
2013,NUMBER,2015/2016,_T,_T,35897
2013,NUMBER,2016/2017,_T,_T,31761
2013,NUMBER,2017/2018,_T,_T,32963
2013,NUMBER,2018/2019,_T,_T,32540
2013,NUMBER,2019/2020,_T,_T,31140
2013,NUMBER,2010/2011,gymnasium,_T,8863
2013,NUMBER,2011/2012,gymnasium,_T,8101
2013,NUMBER,2012/2013,gymnasium,_T,9732
2013,NUMBER,2013/2014,gymnasium,_T,10855
2013,NUMBER,2014/2015,gymnasium,_T,11920
2013,NUMBER,2015/2016,gymnasium,_T,9210
2013,NUMBER,2016/2017,gymnasium,_T,7893
2013,NUMBER,2017/2018,gymnasium,_T,7799
2013,NUMBER,2018/2019,gymnasium,_T,7462
2013,NUMBER,2019/2020,gymnasium,_T,7010
2013,NUMBER,2010/2011,technical_schools,_T,17510
2013,NUMBER,2011/2012,technical_schools,_T,16553
2013,NUMBER,2012/2013,technical_schools,_T,19679
2013,NUMBER,2013/2014,technical_schools,_T,21299
2013,NUMBER,2014/2015,technical_schools,_T,21426
2013,NUMBER,2015/2016,technical_schools,_T,18617
2013,NUMBER,2016/2017,technical_schools,_T,15815
2013,NUMBER,2017/2018,technical_schools,_T,16988
2013,NUMBER,2018/2019,technical_schools,_T,17092
2013,NUMBER,2019/2020,technical_schools,_T,16116
2013,NUMBER,2010/2011,art_schools,_T,276
2013,NUMBER,2011/2012,art_schools,_T,293
2013,NUMBER,2012/2013,art_schools,_T,316
2013,NUMBER,2013/2014,art_schools,_T,318
2013,NUMBER,2014/2015,art_schools,_T,357
2013,NUMBER,2015/2016,art_schools,_T,288
2013,NUMBER,2016/2017,art_schools,_T,214
2013,NUMBER,2017/2018,art_schools,_T,302
2013,NUMBER,2018/2019,art_schools,_T,281
2013,NUMBER,2019/2020,art_schools,_T,241
2013,NUMBER,2010/2011,religion_schools,_T,447
2013,NUMBER,2011/2012,religion_schools,_T,356
2013,NUMBER,2012/2013,religion_schools,_T,460
2013,NUMBER,2013/2014,religion_schools,_T,517
2013,NUMBER,2014/2015,religion_schools,_T,602
2013,NUMBER,2015/2016,religion_schools,_T,503
2013,NUMBER,2016/2017,religion_schools,_T,476
2013,NUMBER,2017/2018,religion_schools,_T,530
2013,NUMBER,2018/2019,religion_schools,_T,553
2013,NUMBER,2019/2020,religion_schools,_T,518
2013,NUMBER,2010/2011,vocational_schools,_T,8154
2013,NUMBER,2011/2012,vocational_schools,_T,9386
2013,NUMBER,2012/2013,vocational_schools,_T,10331
2013,NUMBER,2013/2014,vocational_schools,_T,10806
2013,NUMBER,2014/2015,vocational_schools,_T,8890
2013,NUMBER,2015/2016,vocational_schools,_T,7161
2013,NUMBER,2016/2017,vocational_schools,_T,7260
2013,NUMBER,2017/2018,vocational_schools,_T,7224
2013,NUMBER,2018/2019,vocational_schools,_T,7018
2013,NUMBER,2019/2020,vocational_schools,_T,7149
2013,NUMBER,2010/2011,high_schools_for_children_with_special_needs,_T,99
2013,NUMBER,2011/2012,high_schools_for_children_with_special_needs,_T,102
2013,NUMBER,2012/2013,high_schools_for_children_with_special_needs,_T,112
2013,NUMBER,2013/2014,high_schools_for_children_with_special_needs,_T,196
2013,NUMBER,2014/2015,high_schools_for_children_with_special_needs,_T,123
2013,NUMBER,2015/2016,high_schools_for_children_with_special_needs,_T,118
2013,NUMBER,2016/2017,high_schools_for_children_with_special_needs,_T,103
2013,NUMBER,2017/2018,high_schools_for_children_with_special_needs,_T,120
2013,NUMBER,2018/2019,high_schools_for_children_with_special_needs,_T,134
2013,NUMBER,2019/2020,high_schools_for_children_with_special_needs,_T,106
2013,NUMBER,2010/2011,_T,M,18022
2013,NUMBER,2011/2012,_T,M,18153
2013,NUMBER,2012/2013,_T,M,20895
2013,NUMBER,2013/2014,_T,M,22589
2013,NUMBER,2014/2015,_T,M,22230
2013,NUMBER,2015/2016,_T,M,18464
2013,NUMBER,2016/2017,_T,M,16307
2013,NUMBER,2017/2018,_T,M,16580
2013,NUMBER,2018/2019,_T,M,16519
2013,NUMBER,2019/2020,_T,M,15982
2013,NUMBER,2010/2011,gymnasium,M,3246
2013,NUMBER,2011/2012,gymnasium,M,3021
2013,NUMBER,2012/2013,gymnasium,M,3642
2013,NUMBER,2013/2014,gymnasium,M,3946
2013,NUMBER,2014/2015,gymnasium,M,4428
2013,NUMBER,2015/2016,gymnasium,M,3412
2013,NUMBER,2016/2017,gymnasium,M,2895
2013,NUMBER,2017/2018,gymnasium,M,2869
2013,NUMBER,2018/2019,gymnasium,M,2819
2013,NUMBER,2019/2020,gymnasium,M,2538
2013,NUMBER,2010/2011,technical_schools,M,8794
2013,NUMBER,2011/2012,technical_schools,M,8333
2013,NUMBER,2012/2013,technical_schools,M,9735
2013,NUMBER,2013/2014,technical_schools,M,10569
2013,NUMBER,2014/2015,technical_schools,M,10911
2013,NUMBER,2015/2016,technical_schools,M,9580
2013,NUMBER,2016/2017,technical_schools,M,7882
2013,NUMBER,2017/2018,technical_schools,M,8200
2013,NUMBER,2018/2019,technical_schools,M,8309
2013,NUMBER,2019/2020,technical_schools,M,7844
2013,NUMBER,2010/2011,art_schools,M,113
2013,NUMBER,2011/2012,art_schools,M,120
2013,NUMBER,2012/2013,art_schools,M,137
2013,NUMBER,2013/2014,art_schools,M,133
2013,NUMBER,2014/2015,art_schools,M,161
2013,NUMBER,2015/2016,art_schools,M,111
2013,NUMBER,2016/2017,art_schools,M,80
