Year,UNIT_MEASURE,school_year_end,Type_of_school,SEX,Value
2013,NUMBER,2017/2018,art_schools,M,108
2013,NUMBER,2018/2019,art_schools,M,111
2013,NUMBER,2019/2020,art_schools,M,80
2013,NUMBER,2010/2011,religion_schools,M,228
2013,NUMBER,2011/2012,religion_schools,M,176
2013,NUMBER,2012/2013,religion_schools,M,209
2013,NUMBER,2013/2014,religion_schools,M,260
2013,NUMBER,2014/2015,religion_schools,M,296
2013,NUMBER,2015/2016,religion_schools,M,242
2013,NUMBER,2016/2017,religion_schools,M,241
2013,NUMBER,2017/2018,religion_schools,M,253
2013,NUMBER,2018/2019,religion_schools,M,251
2013,NUMBER,2019/2020,religion_schools,M,259
2013,NUMBER,2010/2011,vocational_schools,M,5576
2013,NUMBER,2011/2012,vocational_schools,M,6443
2013,NUMBER,2012/2013,vocational_schools,M,7094
2013,NUMBER,2013/2014,vocational_schools,M,7549
2013,NUMBER,2014/2015,vocational_schools,M,6355
2013,NUMBER,2015/2016,vocational_schools,M,5047
2013,NUMBER,2016/2017,vocational_schools,M,5142
2013,NUMBER,2017/2018,vocational_schools,M,5068
2013,NUMBER,2018/2019,vocational_schools,M,4947
2013,NUMBER,2019/2020,vocational_schools,M,5195
2013,NUMBER,2010/2011,high_schools_for_children_with_special_needs,M,65
2013,NUMBER,2011/2012,high_schools_for_children_with_special_needs,M,60
2013,NUMBER,2012/2013,high_schools_for_children_with_special_needs,M,78
2013,NUMBER,2013/2014,high_schools_for_children_with_special_needs,M,132
2013,NUMBER,2014/2015,high_schools_for_children_with_special_needs,M,79
2013,NUMBER,2015/2016,high_schools_for_children_with_special_needs,M,72
2013,NUMBER,2016/2017,high_schools_for_children_with_special_needs,M,67
2013,NUMBER,2017/2018,high_schools_for_children_with_special_needs,M,82
2013,NUMBER,2018/2019,high_schools_for_children_with_special_needs,M,82
2013,NUMBER,2019/2020,high_schools_for_children_with_special_needs,M,66
2013,NUMBER,2010/2011,_T,F,17327
2013,NUMBER,2011/2012,_T,F,16638
2013,NUMBER,2012/2013,_T,F,19735
2013,NUMBER,2013/2014,_T,F,21402
2013,NUMBER,2014/2015,_T,F,21088
2013,NUMBER,2015/2016,_T,F,17433
2013,NUMBER,2016/2017,_T,F,15454
2013,NUMBER,2017/2018,_T,F,16383
2013,NUMBER,2018/2019,_T,F,16021
2013,NUMBER,2019/2020,_T,F,15158
2013,NUMBER,2010/2011,gymnasium,F,5617
2013,NUMBER,2011/2012,gymnasium,F,5080
2013,NUMBER,2012/2013,gymnasium,F,6090
2013,NUMBER,2013/2014,gymnasium,F,6909
2013,NUMBER,2014/2015,gymnasium,F,7492
2013,NUMBER,2015/2016,gymnasium,F,5798
2013,NUMBER,2016/2017,gymnasium,F,4998
2013,NUMBER,2017/2018,gymnasium,F,4930
2013,NUMBER,2018/2019,gymnasium,F,4643
2013,NUMBER,2019/2020,gymnasium,F,4472
2013,NUMBER,2010/2011,technical_schools,F,8716
2013,NUMBER,2011/2012,technical_schools,F,8220
2013,NUMBER,2012/2013,technical_schools,F,9944
2013,NUMBER,2013/2014,technical_schools,F,10730
2013,NUMBER,2014/2015,technical_schools,F,10515
2013,NUMBER,2015/2016,technical_schools,F,9037
2013,NUMBER,2016/2017,technical_schools,F,7933
2013,NUMBER,2017/2018,technical_schools,F,8788
2013,NUMBER,2018/2019,technical_schools,F,8783
2013,NUMBER,2019/2020,technical_schools,F,8272
2013,NUMBER,2010/2011,art_schools,F,163
2013,NUMBER,2011/2012,art_schools,F,173
2013,NUMBER,2012/2013,art_schools,F,179
2013,NUMBER,2013/2014,art_schools,F,185
2013,NUMBER,2014/2015,art_schools,F,196
2013,NUMBER,2015/2016,art_schools,F,177
2013,NUMBER,2016/2017,art_schools,F,134
2013,NUMBER,2017/2018,art_schools,F,194
2013,NUMBER,2018/2019,art_schools,F,170
2013,NUMBER,2019/2020,art_schools,F,161
2013,NUMBER,2010/2011,religion_schools,F,219
2013,NUMBER,2011/2012,religion_schools,F,180
2013,NUMBER,2012/2013,religion_schools,F,251
2013,NUMBER,2013/2014,religion_schools,F,257
2013,NUMBER,2014/2015,religion_schools,F,306
2013,NUMBER,2015/2016,religion_schools,F,261
2013,NUMBER,2016/2017,religion_schools,F,235
2013,NUMBER,2017/2018,religion_schools,F,277
2013,NUMBER,2018/2019,religion_schools,F,302
2013,NUMBER,2019/2020,religion_schools,F,259
2013,NUMBER,2010/2011,vocational_schools,F,2578
2013,NUMBER,2011/2012,vocational_schools,F,2943
2013,NUMBER,2012/2013,vocational_schools,F,3237
2013,NUMBER,2013/2014,vocational_schools,F,3257
2013,NUMBER,2014/2015,vocational_schools,F,2535
2013,NUMBER,2015/2016,vocational_schools,F,2114
2013,NUMBER,2016/2017,vocational_schools,F,2118
2013,NUMBER,2017/2018,vocational_schools,F,2156
2013,NUMBER,2018/2019,vocational_schools,F,2071
2013,NUMBER,2019/2020,vocational_schools,F,1954
2013,NUMBER,2010/2011,high_schools_for_children_with_special_needs,F,34
2013,NUMBER,2011/2012,high_schools_for_children_with_special_needs,F,42
2013,NUMBER,2012/2013,high_schools_for_children_with_special_needs,F,34
2013,NUMBER,2013/2014,high_schools_for_children_with_special_needs,F,64
2013,NUMBER,2014/2015,high_schools_for_children_with_special_needs,F,44
2013,NUMBER,2015/2016,high_schools_for_children_with_special_needs,F,46
2013,NUMBER,2016/2017,high_schools_for_children_with_special_needs,F,36
2013,NUMBER,2017/2018,high_schools_for_children_with_special_needs,F,38
2013,NUMBER,2018/2019,high_schools_for_children_with_special_needs,F,52
2013,NUMBER,2019/2020,high_schools_for_children_with_special_needs,F,40
