Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,2030,F,75+,201008.27
2021,2035,F,75+,235292.34
2021,2040,F,75+,262261.56
2021,2045,F,75+,271968.75
2021,2050,F,75+,276487.53
2021,2055,F,75+,280029.18
2021,2060,F,75+,282866.04
2021,2065,F,75+,280078.52
2021,2070,F,75+,267957.30
2021,2018,F,85+,26996.00
2021,2020,F,85+,31904.14
2021,2025,F,85+,44086.44
2021,2030,F,85+,45866.52
2021,2035,F,85+,58977.06
2021,2040,F,85+,76911.68
2021,2045,F,85+,93181.75
2021,2050,F,85+,105006.88
2021,2055,F,85+,108179.86
2021,2060,F,85+,111459.64
2021,2065,F,85+,116153.73
2021,2070,F,85+,120768.26
2021,2018,F,100+,148.00
2021,2020,F,100+,115.46
2021,2025,F,100+,147.10
2021,2030,F,100+,328.66
2021,2035,F,100+,647.26
2021,2040,F,100+,1070.93
2021,2045,F,100+,1179.62
2021,2050,F,100+,2076.04
2021,2055,F,100+,3120.73
2021,2060,F,100+,4118.54
2021,2065,F,100+,4960.71
2021,2070,F,100+,5311.52
2021,2018,M,0-4,-77060.00
2021,2018,M,5-9,-87991.00
2021,2018,M,10-14,-90862.00
2021,2018,M,15-19,-97735.00
2021,2018,M,20-24,-124642.00
2021,2018,M,25-29,-115506.00
2021,2018,M,30-34,-128613.00
2021,2018,M,35-39,-128321.00
2021,2018,M,40-44,-125498.00
2021,2018,M,45-49,-120314.00
2021,2018,M,50-54,-126686.00
2021,2018,M,55-59,-129670.00
2021,2018,M,60-64,-118083.00
2021,2018,M,65-69,-94375.00
2021,2018,M,70-74,-59475.00
2021,2018,M,75-79,-44663.00
2021,2018,M,80-84,-30186.00
2021,2018,M,85-89,-11675.00
2021,2018,M,90-94,-2542.00
2021,2018,M,95-99,-271.00
2021,2018,M,100-104,-81.00
2021,2018,M,105-109,-4.00
2021,2018,M,110-114,0.00
2021,2018,M,115-119,0.00
2021,2018,M,120+,0.00
2021,2020,M,0-4,-75744.04
2021,2020,M,5-9,-81011.49
2021,2020,M,10-14,-91040.87
2021,2020,M,15-19,-91652.62
2021,2020,M,20-24,-108286.86
2021,2020,M,25-29,-108473.60
2021,2020,M,30-34,-119686.72
2021,2020,M,35-39,-125098.53
2021,2020,M,40-44,-123123.93
2021,2020,M,45-49,-120061.69
2021,2020,M,50-54,-119979.54
2021,2020,M,55-59,-128231.89
2021,2020,M,60-64,-120620.76
2021,2020,M,65-69,-102595.16
2021,2020,M,70-74,-71140.03
2021,2020,M,75-79,-40179.56
2021,2020,M,80-84,-32442.48
2021,2020,M,85-89,-13550.11
2021,2020,M,90-94,-3471.28
2021,2020,M,95-99,-363.23
2021,2020,M,100-104,-58.11
2021,2020,M,105-109,-4.87
2021,2020,M,110-114,0.00
2021,2020,M,115-119,0.00
2021,2020,M,120+,0.00
2021,2025,M,0-4,-68574.60
2021,2025,M,5-9,-73811.81
2021,2025,M,10-14,-79627.30
2021,2025,M,15-19,-87929.07
2021,2025,M,20-24,-80608.87
2021,2025,M,25-29,-91492.04
2021,2025,M,30-34,-95451.27
2021,2025,M,35-39,-108357.86
2021,2025,M,40-44,-115447.94
