Year,UNIT_MEASURE,Value
2013,NUMBER,204.08
2014,NUMBER,210.46
2015,NUMBER,210.43
2016,NUMBER,212.07
2017,NUMBER,211.37
2018,NUMBER,217.10
2019,NUMBER,223.11
