Year,UNIT_MEASURE,school_year_beginning,SEX,Value
2013,NUMBER,2011/2012,_T,24605
2013,NUMBER,2012/2013,_T,24227
2013,NUMBER,2013/2014,_T,24476
2013,NUMBER,2014/2015,_T,24106
2013,NUMBER,2015/2016,_T,23515
2013,NUMBER,2016/2017,_T,23824
2013,NUMBER,2017/2018,_T,23978
2013,NUMBER,2018/2019,_T,24175
2013,NUMBER,2019/2020,_T,24361
2013,NUMBER,2020/2021,_T,24548
2013,NUMBER,2011/2012,M,7459
2013,NUMBER,2012/2013,M,7177
2013,NUMBER,2013/2014,M,7161
2013,NUMBER,2014/2015,M,6971
2013,NUMBER,2015/2016,M,6737
2013,NUMBER,2016/2017,M,6779
2013,NUMBER,2017/2018,M,6725
2013,NUMBER,2018/2019,M,6648
2013,NUMBER,2019/2020,M,6548
2013,NUMBER,2020/2021,M,6530
2013,NUMBER,2011/2012,F,17146
2013,NUMBER,2012/2013,F,17050
2013,NUMBER,2013/2014,F,17315
2013,NUMBER,2014/2015,F,17135
2013,NUMBER,2015/2016,F,16778
2013,NUMBER,2016/2017,F,17045
2013,NUMBER,2017/2018,F,17253
2013,NUMBER,2018/2019,F,17527
2013,NUMBER,2019/2020,F,17813
2013,NUMBER,2020/2021,F,18018
