Year,SEX,UNIT_MEASURE,Value
1961,M,Age,31.6
1971,M,Age,48.0
1998,M,Age,63.3
1999,M,Age,64.0
2000,M,Age,64.2
2001,M,Age,64.6
2002,M,Age,65.0
2003,M,Age,65.8
2004,M,Age,66.3
2005,M,Age,66.8
2006,M,Age,66.8
2007,M,Age,66.9
2008,M,Age,67.4
2009,M,Age,68.1
2010,M,Age,68.9
2011,M,Age,69.4
2012,M,Age,69.8
2013,M,Age,70.0
2014,M,Age,70.4
2015,M,Age,70.7
2016,M,Age,70.7
2017,M,Age,71.2
2018,M,Age,71.4
2019,M,Age,71.5
1961,F,Age,34.5
1971,F,Age,51.6
1998,F,Age,69.2
1999,F,Age,69.5
2000,F,Age,69.7
2001,F,Age,70.2
2002,F,Age,70.7
2003,F,Age,71.2
2004,F,Age,71.7
2005,F,Age,72.2
2006,F,Age,72.2
2007,F,Age,72.5
2008,F,Age,73.3
2009,F,Age,73.6
2010,F,Age,74.5
2011,F,Age,75.0
2012,F,Age,75.3
2013,F,Age,75.5
2014,F,Age,75.8
2015,F,Age,76.1
2016,F,Age,76.2
2017,F,Age,76.5
2018,F,Age,76.8
2019,F,Age,76.9
1998,_T,Age,66.1
1999,_T,Age,66.6
2000,_T,Age,66.8
2001,_T,Age,67.2
2002,_T,Age,67.8
2003,_T,Age,68.4
2004,_T,Age,68.9
2005,_T,Age,69.3
2006,_T,Age,69.4
2007,_T,Age,69.6
2008,_T,Age,70.2
2009,_T,Age,70.8
2010,_T,Age,71.6
2011,_T,Age,72.1
2012,_T,Age,72.5
2013,_T,Age,72.7
2014,_T,Age,73.0
2015,_T,Age,73.4
2016,_T,Age,73.4
2017,_T,Age,73.9
2018,_T,Age,74.1
2019,_T,Age,74.1
