Year,SEX,UNIT_MEASURE,AGE,Value
2035,M,_%,85+,1.22
2040,M,_%,85+,1.82
2045,M,_%,85+,2.5
2050,M,_%,85+,3.17
2055,M,_%,85+,3.66
2060,M,_%,85+,4.17
2065,M,_%,85+,4.75
2070,M,_%,85+,5.35
2018,M,_%,100+,0
2020,M,_%,100+,0
2025,M,_%,100+,0
2030,M,_%,100+,0.01
2035,M,_%,100+,0.01
2040,M,_%,100+,0.02
2045,M,_%,100+,0.03
2050,M,_%,100+,0.06
2055,M,_%,100+,0.1
2060,M,_%,100+,0.15
2065,M,_%,100+,0.2
2070,M,_%,100+,0.24
2018,F,_%,0-14,6.91
2020,F,_%,0-14,6.81
2025,F,_%,0-14,6.42
2030,F,_%,0-14,6.08
2035,F,_%,0-14,5.76
2040,F,_%,0-14,5.44
2045,F,_%,0-14,5.24
2050,F,_%,0-14,5.15
2055,F,_%,0-14,5.1
2060,F,_%,0-14,5.07
2065,F,_%,0-14,5.03
2070,F,_%,0-14,5
2018,F,_%,0-18,9
2020,F,_%,0-18,8.82
2025,F,_%,0-18,8.5
2030,F,_%,0-18,7.97
2035,F,_%,0-18,7.6
2040,F,_%,0-18,7.23
2045,F,_%,0-18,6.94
2050,F,_%,0-18,6.76
2055,F,_%,0-18,6.69
2060,F,_%,0-18,6.65
2065,F,_%,0-18,6.61
2070,F,_%,0-18,6.58
2018,F,_%,15-29,9.19
2020,F,_%,15-29,8.68
2025,F,_%,15-29,7.87
2030,F,_%,15-29,7.16
2035,F,_%,15-29,6.96
2040,F,_%,15-29,6.71
2045,F,_%,15-29,6.5
2050,F,_%,15-29,6.29
2055,F,_%,15-29,6.08
2060,F,_%,15-29,5.96
2065,F,_%,15-29,5.94
2070,F,_%,15-29,5.96
2018,F,_%,15-49,23.17
2020,F,_%,15-49,22.72
2025,F,_%,15-49,21.58
2030,F,_%,15-49,20.29
2035,F,_%,15-49,18.94
2040,F,_%,15-49,17.77
2045,F,_%,15-49,16.9
2050,F,_%,15-49,16.14
2055,F,_%,15-49,15.91
2060,F,_%,15-49,15.62
2065,F,_%,15-49,15.47
2070,F,_%,15-49,15.39
2018,F,_%,15-64,34.49
2020,F,_%,15-64,34.01
2025,F,_%,15-64,32.89
2030,F,_%,15-64,31.64
2035,F,_%,15-64,30.74
2040,F,_%,15-64,29.88
2045,F,_%,15-64,28.86
2050,F,_%,15-64,27.65
2055,F,_%,15-64,26.53
2060,F,_%,15-64,25.78
2065,F,_%,15-64,25.17
2070,F,_%,15-64,25.2
2018,F,_%,65+,9.51
2020,F,_%,65+,10.29
2025,F,_%,65+,12.31
2030,F,_%,65+,14.36
2035,F,_%,65+,16.03
2040,F,_%,65+,17.65
2045,F,_%,65+,19.3
2050,F,_%,65+,21.02
2055,F,_%,65+,22.59
2060,F,_%,65+,23.78
2065,F,_%,65+,24.8
2070,F,_%,65+,25.13
2018,F,_%,75+,4.05
2020,F,_%,75+,4.15
2025,F,_%,75+,5.1
2030,F,_%,75+,6.49
2035,F,_%,75+,8.08
2040,F,_%,75+,9.65
2045,F,_%,75+,10.8
2050,F,_%,75+,11.92
2055,F,_%,75+,13.19
2060,F,_%,75+,14.62
2065,F,_%,75+,15.94
2070,F,_%,75+,16.86
2018,F,_%,85+,0.77
2020,F,_%,85+,0.93
2025,F,_%,85+,1.35
2030,F,_%,85+,1.48
2035,F,_%,85+,2.03
2040,F,_%,85+,2.83
2045,F,_%,85+,3.7
2050,F,_%,85+,4.53
2055,F,_%,85+,5.09
2060,F,_%,85+,5.76
2065,F,_%,85+,6.61
2070,F,_%,85+,7.6
2018,F,_%,100+,0
2020,F,_%,100+,0
2025,F,_%,100+,0
2030,F,_%,100+,0.01
2035,F,_%,100+,0.02
2040,F,_%,100+,0.04
2045,F,_%,100+,0.05
2050,F,_%,100+,0.09
2055,F,_%,100+,0.15
2060,F,_%,100+,0.21
2065,F,_%,100+,0.28
2070,F,_%,100+,0.33
2018,_T,_%,0-4,4.27
2018,_T,_%,5-9,4.9
2018,_T,_%,10-14,5.07
2018,_T,_%,15-19,5.46
2018,_T,_%,20-24,6.96
2018,_T,_%,25-29,6.46
2018,_T,_%,30-34,7.19
2018,_T,_%,35-39,7.23
2018,_T,_%,40-44,7.11
2018,_T,_%,45-49,6.85
2018,_T,_%,50-54,7.32
2018,_T,_%,55-59,7.62
2018,_T,_%,60-64,7.1
2018,_T,_%,65-69,5.92
2018,_T,_%,70-74,3.94
2018,_T,_%,75-79,3.15
2018,_T,_%,80-84,2.26
2018,_T,_%,85-89,0.93
2018,_T,_%,90-94,0.22
2018,_T,_%,95-99,0.03
2018,_T,_%,100-104,0.01
2018,_T,_%,105-109,0
2018,_T,_%,110-114,0
2018,_T,_%,115-119,0
2018,_T,_%,120+,0
2020,_T,_%,0-4,4.27
2020,_T,_%,5-9,4.6
2020,_T,_%,10-14,5.17
2020,_T,_%,15-19,5.21
2020,_T,_%,20-24,6.22
