Year,UNIT_MEASURE,Value
1996,NUMBER,21107
1997,NUMBER,23220
1998,NUMBER,22398
1999,NUMBER,22472
2000,NUMBER,21897
2001,NUMBER,20302
2002,NUMBER,20766
2003,NUMBER,20733
2004,NUMBER,22252
2005,NUMBER,21698
2006,NUMBER,21501
2007,NUMBER,23494
2008,NUMBER,22151
2009,NUMBER,20633
2010,NUMBER,19541
2011,NUMBER,19156
2012,NUMBER,18235
2013,NUMBER,17623
2014,NUMBER,18643
2015,NUMBER,19686
2016,NUMBER,19265
2017,NUMBER,19969
2018,NUMBER,19911
2019,NUMBER,18952
