Year,UNIT_MEASURE,ADMIN_AREA,Value
2005,NUMBER,BiH,3.00
2005,NUMBER,RS,3.00
2007,NUMBER,BiH,3.00
2007,NUMBER,RS,3.00
2008,NUMBER,BiH,4.00
2008,NUMBER,RS,4.00
2009,NUMBER,BiH,5.00
2009,NUMBER,RS,5.00
2010,NUMBER,BiH,4.00
2010,NUMBER,RS,4.00
2011,NUMBER,BiH,2.00
2011,NUMBER,RS,2.00
2012,NUMBER,BiH,4.00
2012,NUMBER,RS,4.00
2013,NUMBER,BiH,3.00
2013,NUMBER,RS,3.00
2014,NUMBER,BiH,1.00
2014,NUMBER,RS,1.00
2016,NUMBER,BiH,3.00
2016,NUMBER,RS,3.00
2017,NUMBER,BiH,1.00
2017,NUMBER,RS,1.00
2018,NUMBER,BiH,9.00
2018,NUMBER,FBIH,1.00
2018,NUMBER,RS,8.00
2019,NUMBER,BiH,10.00
2019,NUMBER,FBIH,10.00
