Year,UNIT_MEASURE,Value
2013,NUMBER,6480
2014,NUMBER,6673
2015,NUMBER,6577
2016,NUMBER,6604
2017,NUMBER,6682
2018,NUMBER,6810
2019,NUMBER,7031
