Year,UNIT_MEASURE,Entity,Value
1999,NUMBER,RS,457.00
2000,NUMBER,RS,393.00
2001,NUMBER,RS,382.00
2002,NUMBER,RS,334.00
2003,NUMBER,RS,325.00
2004,NUMBER,RS,307.00
2005,NUMBER,RS,262.99
2006,NUMBER,RS,278.24
2007,NUMBER,FBiH,350.68
2007,NUMBER,RS,313.20
2008,NUMBER,FBiH,347.67
2008,NUMBER,RS,309.92
2009,NUMBER,FBiH,361.32
2009,NUMBER,RS,305.61
2010,NUMBER,FBiH,367.76
2010,NUMBER,RS,304.95
2011,NUMBER,FBiH,367.71
2011,NUMBER,RS,307.97
2012,NUMBER,FBiH,365.61
2012,NUMBER,RS,318.90
2013,NUMBER,FBiH,350.12
2013,NUMBER,RS,320.23
2014,NUMBER,FBiH,357.81
2014,NUMBER,RS,325.62
2015,NUMBER,FBiH,356.50
2015,NUMBER,RS,399.51
2016,NUMBER,FBiH,376.62
2016,NUMBER,RS,399.82
2017,NUMBER,FBiH,372.80
2017,NUMBER,RS,394.62
2018,NUMBER,FBiH,362.17
2018,NUMBER,RS,419.90
2018,NUMBER,BD,365.24
2019,NUMBER,FBiH,359.44
