Year,UNIT_MEASURE,Value
2007,Number,14.97
2008,Number,11.02
2009,Number,14.89
2010,Number,12.65
2011,Number,10.31
2012,Number,14.78
2013,Number,8.41
2014,Number,14.36
2015,Number,13.44
2016,Number,19.13
2017,Number,10.26
